name,designer,license,category,date_added
Baskervville,ANRT (Atelier National de Recherche typographique),OFL,SERIF,2019-10-04
Battambang,Danh Hong,OFL,DISPLAY,2011-03-02
Baumans,Cyreal,OFL,DISPLAY,2011-12-07
Bayon,Danh Hong,OFL,DISPLAY,2011-03-02
Bebas Neue,Ryoichi Tsunekawa,OFL,DISPLAY,2019-10-16
Belgrano,LatinoType,OFL,SERIF,2011-12-19
Bellefair,"Nick Shinn, Liron Lavi Turkenic",OFL,SERIF,2017-06-28
Belleza,Eduardo Tunni,OFL,SANS_SERIF,2012-03-29
Bellota,Kemie Guaida,OFL,DISPLAY,2020-01-16
Bellota Text,Kemie Guaida,OFL,DISPLAY,2020-01-16
BenchNine,Vernon Adams,OFL,SANS_SERIF,2012-09-24
Bentham,Ben Weiner,OFL,SERIF,2010-11-30
Berkshire Swash,Astigmatic,OFL,HANDWRITING,2012-03-14
Beth Ellen,Rob Jelinski,OFL,HANDWRITING,2019-05-10
Bevan,Vernon Adams,OFL,DISPLAY,2011-02-23
Be Vietnam,"Gabriel Lam, Tony Le, Vietanh Nguyen, beGroup Vietnam",OFL,SANS_SERIF,2019-08-05
Bhavuka,Multiple Designers,OFL,DISPLAY,2014-10-31
Bigelow Rules,Astigmatic,OFL,DISPLAY,2012-11-02
Bigshot One,Gesine Todt,OFL,DISPLAY,2011-05-04
Big Shoulders Display,Patric King,OFL,DISPLAY,2019-09-11
Big Shoulders Text,Patric King,OFL,DISPLAY,2019-09-11
Bilbo,TypeSETit,OFL,HANDWRITING,2011-12-07
Bilbo Swash Caps,TypeSETit,OFL,HANDWRITING,2011-12-13
Bio Rhyme,Aoife Mooney,OFL,SERIF,2016-06-20
Bio Rhyme Expanded,Aoife Mooney,OFL,SERIF,2016-06-20
Biryani,"Dan Reynolds, Mathieu Réguer",OFL,SANS_SERIF,2015-04-22
Bitter,Huerta Tipográfica,OFL,SERIF,2011-12-19
Black And White Picture,AsiaSoft Inc.,OFL,SANS_SERIF,2018-02-27
Black Han Sans,Zess Type,OFL,SANS_SERIF,2018-02-23
Black Ops One,James Grieshaber,OFL,DISPLAY,2011-07-27
Blinker,Juergen Huber,OFL,SANS_SERIF,2019-06-24
Bokor,Danh Hong,OFL,DISPLAY,2011-03-02
Bonbon,Cyreal,OFL,HANDWRITING,2011-12-07
Boogaloo,John Vargas Beltrán,OFL,DISPLAY,2011-12-19
Bowlby One,Vernon Adams,OFL,DISPLAY,2011-07-13
Bowlby One SC,Vernon Adams,OFL,DISPLAY,2011-07-06
Brawler,Cyreal,OFL,SERIF,2011-05-18
Bree Serif,TypeTogether,OFL,SERIF,2011-12-19
Bruno Ace,Astigmatic,OFL,SANS_SERIF,2012-11-16
Bruno Ace SC,Astigmatic,OFL,SANS_SERIF,2012-11-16
Bubblegum Sans,Sudtipos,OFL,DISPLAY,2011-11-23
Bubbler One,Brenda Gallo,OFL,SANS_SERIF,2012-05-09
Buda,Adèle Antignac,OFL,DISPLAY,2010-12-20
Buenard,FontFuror,OFL,SERIF,2011-12-19
Bungee,David Jonathan Ross,OFL,DISPLAY,2016-06-20
Bungee Hairline,David Jonathan Ross,OFL,DISPLAY,2016-06-20
Bungee Inline,David Jonathan Ross,OFL,DISPLAY,2016-06-20
Bungee Outline,David Jonathan Ross,OFL,DISPLAY,2016-06-20
Bungee Shade,David Jonathan Ross,OFL,DISPLAY,2016-06-20
Butcherman,Typomondo,OFL,DISPLAY,2011-12-19
Butcherman Caps,Typomondo,OFL,DISPLAY,2011-10-24
Butterfly Kids,Tart Workshop,OFL,HANDWRITING,2012-02-15
Cabin,Impallari Type,OFL,SANS_SERIF,2011-03-23
Cabin Condensed,Impallari Type,OFL,SANS_SERIF,2011-11-30
Cabin Sketch,Impallari Type,OFL,DISPLAY,2011-03-16
Caesar Dressing,Open Window,OFL,DISPLAY,2011-12-19
Cagliostro,MADType,OFL,SANS_SERIF,2011-11-30
Cairo,"Mohamed Gaber, Multiple Designers",OFL,SANS_SERIF,2016-06-20
Caladea,"Andrés Torresi, Carolina Giovagnoli",OFL,SERIF,2020-02-11
Calistoga,"Yvonne Schuttler, Eben Sorkin",OFL,DISPLAY,2019-11-04
Cambay,Pooja Saxena,OFL,SANS_SERIF,2015-01-28
Cambo,Huerta Tipográfica,OFL,SERIF,2011-12-19
Candal,Vernon Adams,OFL,SANS_SERIF,2011-03-09
Cantarell,Dave Crossland,OFL,SANS_SERIF,2010-05-10
Cantata One,Joana Correia,OFL,SERIF,2012-02-29
Cantora One,Impallari Type,OFL,SANS_SERIF,2012-07-30
Capriola,Viktoriya Grabowska,OFL,SANS_SERIF,2012-07-10
Cardo,David Perry,OFL,SERIF,2011-09-07
Carme,Rubén Prol,OFL,SANS_SERIF,2011-07-27
Carrois Gothic,Carrois Apostrophe,OFL,SANS_SERIF,2012-09-30
Carrois Gothic SC,Carrois Apostrophe,OFL,SANS_SERIF,2012-09-30
Carter One,Vernon Adams,OFL,DISPLAY,2011-05-04
Catamaran,Pria Ravichandran,OFL,SANS_SERIF,2015-07-08
Caudex,Nidud,OFL,SERIF,2011-05-18
Caveat,Impallari Type,OFL,HANDWRITING,2015-09-23
Caveat Brush,Impallari Type,OFL,HANDWRITING,2015-09-23
Cedarville Cursive,Kimberly Geswein,OFL,HANDWRITING,2011-06-08
Ceviche One,Miguel Hernandez,OFL,DISPLAY,2011-12-07
Chakra Petch,Cadson Demak,OFL,SANS_SERIF,2018-08-22
Changa,Eduardo Tunni,OFL,SANS_SERIF,2012-10-31
Changa One,Eduardo Tunni,OFL,DISPLAY,2011-11-30
Chango,Fontstage,OFL,DISPLAY,2011-12-13
Charm,Cadson Demak,OFL,HANDWRITING,2018-08-23
Charmonman,Cadson Demak,OFL,HANDWRITING,2018-08-22
Chathura,Multiple Designers,OFL,SANS_SERIF,2017-05-09
Chau Philomene One,Vicente Lamónaca,OFL,SANS_SERIF,2012-04-04
Chela One,Miguel Hernandez,OFL,DISPLAY,2012-10-05
Chelsea Market,Tart Workshop,OFL,DISPLAY,2012-01-04
Chenla,Danh Hong,OFL,DISPLAY,2011-03-02
Cherry Bomb,Satsuyako,OFL,DISPLAY,2019-12-02
Cherry Swash,Nataliya Kasatkina,OFL,DISPLAY,2012-10-05
Chicle,Sudtipos,OFL,DISPLAY,2011-11-30
Chilanka,SMC,OFL,HANDWRITING,2019-06-10
Chivo,Omnibus-Type,OFL,SANS_SERIF,2011-12-07
Chonburi,Cadson Demak,OFL,DISPLAY,2015-07-08
Cinzel,Natanael Gama,OFL,SERIF,2012-10-24
Cinzel Decorative,Natanael Gama,OFL,DISPLAY,2012-10-05
Clicker Script,Astigmatic,OFL,HANDWRITING,2012-11-11
Coda,Vernon Adams,OFL,DISPLAY,2010-12-07
Coda Caption,Vernon Adams,OFL,SANS_SERIF,2011-02-09
Codystar,Neapolitan,OFL,DISPLAY,2012-03-14
Coiny,Marcelo Magalhães,OFL,DISPLAY,2016-06-20
Combo,Eduardo Tunni,OFL,DISPLAY,2012-09-23
Comfortaa,Johan Aakerlund,OFL,DISPLAY,2011-08-10
Comic Neue,Craig Rozynski,OFL,HANDWRITING,2020-03-12
Concert One,Multiple Designers,OFL,DISPLAY,2011-11-23
Condiment,Sudtipos,OFL,HANDWRITING,2012-01-25
Content,Danh Hong,OFL,DISPLAY,2011-03-02
Contrail One,Riccardo De Franceschi,OFL,DISPLAY,2011-10-26
Convergence,Multiple Designers,OFL,SANS_SERIF,2011-11-09
Cookie,Ania Kruk,OFL,HANDWRITING,2011-10-12
Copse,Dan Rhatigan,OFL,SERIF,2010-12-15
Corben,Vernon Adams,OFL,DISPLAY,2010-12-20
Cormorant,Christian Thalmann,OFL,SERIF,2017-01-18
Cormorant Garamond,Christian Thalmann,OFL,SERIF,2017-01-18
Cormorant Infant,Christian Thalmann,OFL,SERIF,2017-01-18
Cormorant SC,Christian Thalmann,OFL,SERIF,2017-01-18
Cormorant Unicase,Christian Thalmann,OFL,SERIF,2017-01-18
Cormorant Upright,Christian Thalmann,OFL,SERIF,2017-01-18
Courgette,Karolina Lach,OFL,HANDWRITING,2012-07-10
Courier Prime,Alan Dague-Greene,OFL,MONOSPACE,2019-12-05
Coustard,Vernon Adams,OFL,SERIF,2011-08-10
Covered By Your Grace,Kimberly Geswein,OFL,HANDWRITING,2010-12-07
Creepster,Sideshow,OFL,DISPLAY,2011-12-19
Crete Round,TypeTogether,OFL,SERIF,2011-12-19
Crimson Pro,Jacques Le Bailly,OFL,SERIF,2018-12-05
Crimson Text,Sebastian Kosch,OFL,SERIF,2011-01-26
Croissant One,Eduardo Tunni,OFL,DISPLAY,2012-11-12
Cuprum,Jovanny Lemonad,OFL,SANS_SERIF,2012-04-04
Cute Font,TypoDesign Lab. Inc,OFL,DISPLAY,2018-02-23
Cutive,Vernon Adams,OFL,SERIF,2012-02-29
Cutive Mono,Vernon Adams,OFL,MONOSPACE,2012-10-26
Damion,Vernon Adams,OFL,HANDWRITING,2011-04-27
Dancing Script,Impallari Type,OFL,HANDWRITING,2011-05-18
Dangrek,Danh Hong,OFL,DISPLAY,2011-03-02
Darker Grotesque,"Gabriel Lam, Vietanh Nguyen",OFL,SANS_SERIF,2019-06-19
Dawning of a New Day,Kimberly Geswein,OFL,HANDWRITING,2011-04-14
Days One,Jovanny Lemonad,OFL,SANS_SERIF,2011-08-17
Dekko,Sorkin Type,OFL,HANDWRITING,2015-01-28
Delius,Natalia Raices,OFL,HANDWRITING,2011-07-27
Delius Swash Caps,Natalia Raices,OFL,HANDWRITING,2011-08-03
Delius Unicase,Natalia Raices,OFL,HANDWRITING,2011-10-12
Della Respira,Nathan Willis,OFL,SERIF,2012-04-04
Denk One,Sorkin Type,OFL,SANS_SERIF,2012-11-26
Devonshire,Astigmatic,OFL,HANDWRITING,2011-11-16
Dhurjati,Purushoth Kumar Guttula,OFL,SANS_SERIF,2014-12-10
Dhyana,Vernon Adams,OFL,SERIF,2011-12-15
Didact Gothic,"Daniel Johnson, Cyreal",OFL,SANS_SERIF,2011-05-04
Digital Numbers,Stephan Ahlf,OFL,MONOSPACE,2015-06-24
Diplomata,Eduardo Tunni,OFL,DISPLAY,2012-01-25
Diplomata SC,Eduardo Tunni,OFL,DISPLAY,2012-01-25
DM Mono,Colophon Foundry,OFL,MONOSPACE,2020-04-15
DM Sans,"Colophon Foundry, Jonny Pinhorn",OFL,SANS_SERIF,2019-06-12
DM Serif Display,"Colophon Foundry, Frank Grießhammer",OFL,SERIF,2019-06-12
DM Serif Text,"Colophon Foundry, Frank Grießhammer",OFL,SERIF,2019-06-12
Do Hyeon,Woowahan Brothers,OFL,SANS_SERIF,2018-02-24
Dokdo,FONTRIX,OFL,HANDWRITING,2018-02-23
Domine,Impallari Type,OFL,SERIF,2012-11-30
Donegal One,Gary Lonergan,OFL,SERIF,2012-11-26
Doppio One,Szymon Celej,OFL,SANS_SERIF,2012-02-22
Dorsa,Santiago Orozco,OFL,SANS_SERIF,2011-08-31
Dosis,Impallari Type,OFL,SANS_SERIF,2019-01-23
Dr Sugiyama,Sudtipos,OFL,HANDWRITING,2011-11-30
Duru Sans,Onur Yazıcıgil,OFL,SANS_SERIF,2011-12-19
Dynalight,Astigmatic,OFL,DISPLAY,2011-12-19
Eagle Lake,Astigmatic,OFL,HANDWRITING,2012-07-11
East Sea Dokdo,YoonDesign Inc,OFL,HANDWRITING,2018-03-12
Eater,Typomondo,OFL,DISPLAY,2011-12-19
Eater Caps,Typomondo,OFL,DISPLAY,2011-10-24
EB Garamond,"Georg Duffner, Octavio Pardo",OFL,SERIF,2011-03-23
Economica,Vicente Lamónaca,OFL,SANS_SERIF,2012-02-29
Eczar,Rosetta,OFL,SERIF,2015-06-03
Ek Mukta,Ek Type,OFL,SANS_SERIF,2014-05-12
Electrolize,Gaslight,OFL,SANS_SERIF,2011-12-07
El Messiri,"Mohamed Gaber, Jovanny Lemonad",OFL,SANS_SERIF,2016-06-20
Elsie,Alejandro Inler,OFL,DISPLAY,2012-11-12
Elsie Swash Caps,Alejandro Inler,OFL,DISPLAY,2012-11-12
Emblema One,Riccardo De Franceschi,OFL,DISPLAY,2012-01-18
Emilys Candy,Neapolitan,OFL,DISPLAY,2012-02-29
Encode Sans,"Impallari Type, Andres Torresi, Jacques Le Bailly",OFL,SANS_SERIF,2020-05-07
Encode Sans Condensed,"Impallari Type, Andres Torresi, Jacques Le Bailly",OFL,SANS_SERIF,2017-02-08
Encode Sans Expanded,"Impallari Type, Andres Torresi, Jacques Le Bailly",OFL,SANS_SERIF,2017-02-08
Encode Sans Semi Condensed,"Impallari Type, Andres Torresi, Jacques Le Bailly",OFL,SANS_SERIF,2017-02-08
Encode Sans Semi Expanded,"Impallari Type, Andres Torresi, Jacques Le Bailly",OFL,SANS_SERIF,2017-02-08
Engagement,Astigmatic,OFL,HANDWRITING,2011-12-07
Englebert,Astigmatic,OFL,SANS_SERIF,2012-11-02
Enriqueta,FontFuror,OFL,SERIF,2011-12-13
Erica One,Miguel Hernandez,OFL,DISPLAY,2012-01-18
Esteban,Angélica Díaz,OFL,SERIF,2012-01-11
Euphoria Script,Sabrina Mariela Lopez,OFL,HANDWRITING,2012-02-08
Ewert,Multiple Designers,OFL,DISPLAY,2012-02-08
Exo 2,Natanael Gama,OFL,SANS_SERIF,2013-12-04
Exo,"Natanael Gama, Robin Mientjes",OFL,SANS_SERIF,2012-02-08
Expletus Sans,Designtown,OFL,DISPLAY,2011-05-04
Fahkwang,Cadson Demak,OFL,SANS_SERIF,2018-08-22
Fanwood Text,Barry Schwartz,OFL,SERIF,2011-08-31
Farro,Grayscale,OFL,SANS_SERIF,2019-07-17
Farsan,Pooja Saxena,OFL,DISPLAY,2016-06-20
Fascinate,Astigmatic,OFL,DISPLAY,2011-12-07
Fascinate Inline,Astigmatic,OFL,DISPLAY,2011-12-07
Faster One,Eduardo Tunni,OFL,DISPLAY,2012-10-26
Fasthand,Danh Hong,OFL,SERIF,2012-05-24
Fauna One,Eduardo Tunni,OFL,SERIF,2013-06-05
Faustina,Omnibus-Type,OFL,SERIF,2016-12-03
Federant,Cyreal,OFL,DISPLAY,2011-10-05
Federo,Cyreal,OFL,SANS_SERIF,2011-07-27
Felipa,Fontstage,OFL,HANDWRITING,2012-02-08
Fenix,Fernando Díaz,OFL,SERIF,2012-09-24
Finger Paint,Carrois Apostrophe,OFL,DISPLAY,2012-09-30
Fira Code,Multiple Designers,OFL,MONOSPACE,2019-03-25
Fira Mono,Carrois Apostrophe,OFL,MONOSPACE,2014-06-18
Fira Sans,Carrois Apostrophe,OFL,SANS_SERIF,2014-06-18
Fira Sans Condensed,Carrois Apostrophe,OFL,SANS_SERIF,2016-12-02
Fira Sans Extra Condensed,Carrois Apostrophe,OFL,SANS_SERIF,2016-12-06
Fjalla One,Sorkin Type,OFL,SANS_SERIF,2012-10-27
Fjord One,Viktoriya Grabowska,OFL,SERIF,2011-11-02
Flamenco,LatinoType,OFL,DISPLAY,2011-12-19
Flavors,Sideshow,OFL,DISPLAY,2011-12-19
Fondamento,Astigmatic,OFL,HANDWRITING,2011-11-16
Forum,Denis Masharov,OFL,DISPLAY,2011-07-06
Francois One,Vernon Adams,OFL,SANS_SERIF,2011-05-04
Frank Ruhl Libre,Yanek Iontef,OFL,SERIF,2016-06-20
Freckle Face,Astigmatic,OFL,DISPLAY,2012-11-26
Fredericka the Great,Tart Workshop,OFL,DISPLAY,2011-12-19
Fredoka One,Milena Brandao,OFL,DISPLAY,2012-03-14
Freehand,Danh Hong,OFL,DISPLAY,2011-03-02
Fresca,Fontstage,OFL,SANS_SERIF,2011-12-07
Frijole,Sideshow,OFL,DISPLAY,2011-12-19
Fruktur,Viktoriya Grabowska,OFL,DISPLAY,2013-01-16
Fugaz One,LatinoType,OFL,DISPLAY,2011-12-19
Gabriela,Eduardo Tunni,OFL,SERIF,2013-03-06
Gaegu,JIKJI SOFT,OFL,HANDWRITING,2018-02-28
Gafata,Lautaro Hourcade,OFL,SANS_SERIF,2012-10-31
Galada,Multiple Designers,OFL,DISPLAY,2016-06-20
Galdeano,Dario Manuel Muhafara,OFL,SANS_SERIF,2011-12-07
Galindo,Astigmatic,OFL,DISPLAY,2012-08-13
Gamja Flower,YoonDesign Inc,OFL,HANDWRITING,2018-02-23
Gayathri,SMC,OFL,SANS_SERIF,2019-06-10
Gelasio,Eben Sorkin,OFL,SERIF,2019-12-03
Gemunu Libre,Mooniak,OFL,SANS_SERIF,2017-05-29
Gentium Basic,Victor Gaultney,OFL,SERIF,2011-07-20
Gentium Book Basic,Victor Gaultney,OFL,SERIF,2011-08-17
Geo,Ben Weiner,OFL,SANS_SERIF,2010-11-30
Geostar,Joe Prince,OFL,DISPLAY,2011-08-10
Geostar Fill,Joe Prince,OFL,DISPLAY,2011-08-10
Germania One,John Vargas Beltrán,OFL,DISPLAY,2012-01-18
GFS Didot,Greek Font Society,OFL,SERIF,2010-09-21
GFS Neohellenic,Greek Font Society,OFL,SANS_SERIF,2010-09-21
Gidugu,Purushoth Kumar Guttula,OFL,SANS_SERIF,2014-12-10
Gilda Display,Eduardo Tunni,OFL,SERIF,2012-10-31
Girassol,Liam Spradlin,OFL,DISPLAY,2019-12-05
Give You Glory,Kimberly Geswein,OFL,HANDWRITING,2011-07-13
Glass Antiqua,Denis Masharov,OFL,DISPLAY,2012-02-22
Glegoo,Eduardo Tunni,OFL,SERIF,2012-01-25
Gloria Hallelujah,Kimberly Geswein,OFL,HANDWRITING,2011-07-27
Goblin One,Riccardo De Franceschi,OFL,DISPLAY,2011-06-29
Gochi Hand,Huerta Tipográfica,OFL,HANDWRITING,2011-10-05
Gorditas,Gustavo Dipre,OFL,DISPLAY,2012-03-14
Gothic A1,HanYang I&C Co,OFL,SANS_SERIF,2018-02-24
Gotu,Ek Type,OFL,SANS_SERIF,2020-01-10
Goudy Bookletter 1911,Barry Schwartz,OFL,SERIF,2011-02-09
Graduate,Eduardo Tunni,OFL,DISPLAY,2012-03-14
Grand Hotel,Astigmatic,OFL,HANDWRITING,2012-11-30
Gravitas One,Riccardo De Franceschi,OFL,DISPLAY,2011-06-29
Great Vibes,TypeSETit,OFL,HANDWRITING,2012-03-29
Grenze,Omnibus-Type,OFL,SERIF,2018-09-19
Grenze Gotisch,Omnibus-Type,OFL,DISPLAY,2020-05-18
Griffy,Neapolitan,OFL,DISPLAY,2012-09-06
Gruppo,Vernon Adams,OFL,DISPLAY,2010-12-20
Gudea,Agustina Mingote,OFL,SANS_SERIF,2012-01-18
Gugi,TAE System & Typefaces Co.,OFL,DISPLAY,2018-02-23
Gupter,Octavio Pardo,OFL,SERIF,2019-11-13
Gurajada,Purushoth Kumar Guttula,OFL,SERIF,2015-01-08
Habibi,Magnus Gaarde,OFL,SERIF,2011-12-19
Halant,Indian Type Foundry,OFL,SERIF,2014-08-27
Hammersmith One,Nicole Fally,OFL,SANS_SERIF,2011-06-29
Hanalei,Astigmatic,OFL,DISPLAY,2012-11-26
Hanalei Fill,Astigmatic,OFL,DISPLAY,2012-11-26
Handlee,Joe Prince,OFL,HANDWRITING,2011-12-13
Hanuman,Danh Hong,OFL,SERIF,2010-09-21
Happy Monkey,Brenda Gallo,OFL,DISPLAY,2012-03-14
Harmattan,SIL International,OFL,SANS_SERIF,2016-06-20
Headland One,Gary Lonergan,OFL,SERIF,2012-05-09
Heebo,Multiple Designers,OFL,SANS_SERIF,2016-06-20
Henny Penny,Brownfox,OFL,DISPLAY,2012-02-22
Hepta Slab,Mike LaGattuta,OFL,SERIF,2018-09-19
Hermeneus One,Impallari Type,OFL,SANS_SERIF,2012-05-01
Herr Von Muellerhoff,Sudtipos,OFL,HANDWRITING,2011-11-30
Hi Melody,YoonDesign Inc,OFL,HANDWRITING,2018-02-23
Hind,Indian Type Foundry,OFL,SANS_SERIF,2014-06-25
Hind Colombo,Indian Type Foundry,OFL,SANS_SERIF,2016-01-20
Hind Guntur,Indian Type Foundry,OFL,SANS_SERIF,2016-01-20
Hind Jalandhar,Indian Type Foundry,OFL,SANS_SERIF,2016-01-20
Hind Kochi,Indian Type Foundry,OFL,SANS_SERIF,2016-01-20
Hind Madurai,Indian Type Foundry,OFL,SANS_SERIF,2016-01-20
Hind Mysuru,Indian Type Foundry,OFL,SANS_SERIF,2016-01-20
Hind Siliguri,Indian Type Foundry,OFL,SANS_SERIF,2015-09-09
Hind Vadodara,Indian Type Foundry,OFL,SANS_SERIF,2015-09-09
Holtwood One SC,Vernon Adams,OFL,SERIF,2011-05-04
Homenaje,Multiple Designers,OFL,SANS_SERIF,2012-01-18
Ibarra Real Nova,"Jos\303\251 Mar\303\255a Ribagorda, Octavio Pardo",OFL,SERIF,2019-11-04
IBM Plex Mono,"Mike Abbink, Bold Monday",OFL,MONOSPACE,2018-03-12
IBM Plex Sans,"Mike Abbink, Bold Monday",OFL,SANS_SERIF,2018-03-12
IBM Plex Sans Condensed,"Mike Abbink, Bold Monday",OFL,SANS_SERIF,2018-03-12
IBM Plex Serif,"Mike Abbink, Bold Monday",OFL,SERIF,2018-03-12
Iceberg,Cyreal,OFL,DISPLAY,2012-01-25
Iceland,Cyreal,OFL,DISPLAY,2011-11-23
IM Fell Double Pica,Igino Marini,OFL,SERIF,2010-05-17
IM Fell Double Pica SC,Igino Marini,OFL,SERIF,2010-05-17
IM Fell DW Pica,Igino Marini,OFL,SERIF,2010-05-17
IM Fell DW Pica SC,Igino Marini,OFL,SERIF,2010-05-17
IM Fell English,Igino Marini,OFL,SERIF,2010-05-17
IM Fell English SC,Igino Marini,OFL,SERIF,2010-05-17
IM Fell French Canon,Igino Marini,OFL,SERIF,2010-05-17
IM Fell French Canon SC,Igino Marini,OFL,SERIF,2010-05-17
IM Fell Great Primer,Igino Marini,OFL,SERIF,2010-05-17
IM Fell Great Primer SC,Igino Marini,OFL,SERIF,2010-05-17
Imprima,Eduardo Tunni,OFL,SANS_SERIF,2012-03-14
Inconsolata,Raph Levien,OFL,MONOSPACE,2010-02-19
Inder,Sorkin Type,OFL,SANS_SERIF,2011-12-19
Indie Flower,Kimberly Geswein,OFL,HANDWRITING,2011-03-09
Inika,Constanza Artigas,OFL,SERIF,2012-01-11
Inknut Antiqua,Claus Eggers Sørensen,OFL,SERIF,2015-05-20
Inria Sans,"Grégori Vincens, Jérémie Hornus",OFL,SANS_SERIF,2019-12-05
Inria Serif,"Grégori Vincens, Jérémie Hornus",OFL,SERIF,2019-12-05
Inter,Rasmus Andersson,OFL,SANS_SERIF,2020-01-24
Istok Web,Andrey V. Panov,OFL,SANS_SERIF,2011-07-13
Italiana,Santiago Orozco,OFL,SERIF,2012-03-14
Italianno,TypeSETit,OFL,HANDWRITING,2011-12-19
Itim,Cadson Demak,OFL,HANDWRITING,2015-07-01
Jacques Francois,Cyreal,OFL,SERIF,2012-09-07
Jacques Francois Shadow,Cyreal,OFL,DISPLAY,2012-09-07
Jaldi,Omnibus-Type,OFL,SANS_SERIF,2015-04-22
Jim Nightshade,Astigmatic,OFL,HANDWRITING,2012-01-04
Jockey One,TypeTogether,OFL,SANS_SERIF,2011-10-26
Jolly Lodger,Font Diner,OFL,DISPLAY,2012-03-14
Jomhuria,KB Studio,OFL,DISPLAY,2016-06-20
Jomolhari,Christopher J. Fynn,OFL,SERIF,2019-09-10
Josefin Sans,Santiago Orozco,OFL,SANS_SERIF,2010-11-17
Josefin Sans Std Light,hidden,OFL,SANS_SERIF,2010-05-18
Josefin Slab,Santiago Orozco,OFL,SERIF,2010-11-17
Jost,Owen Earl,OFL,SANS_SERIF,2020-02-11
Joti One,Eduardo Tunni,OFL,DISPLAY,2012-10-31
Jua,Woowahan Brothers,OFL,SANS_SERIF,2018-02-24
Judson,Daniel Johnson,OFL,SERIF,2011-05-04
Julee,Julian Tunni,OFL,HANDWRITING,2011-09-07
Julius Sans One,Luciano Vergara,OFL,SANS_SERIF,2012-10-05
Junge,Cyreal,OFL,SERIF,2012-01-18
Jura,"Daniel Johnson, Cyreal",OFL,SANS_SERIF,2011-05-18
Just Me Again Down Here,Kimberly Geswein,OFL,HANDWRITING,2010-12-07
K2D,Cadson Demak,OFL,SANS_SERIF,2018-08-22
Kadwa,Sol Matas,OFL,SERIF,2015-06-17
Kalam,Indian Type Foundry,OFL,HANDWRITING,2014-10-17
Kameron,Vernon Adams,OFL,SERIF,2011-06-08
Kanit,Cadson Demak,OFL,SANS_SERIF,2015-12-07
Kantumruy,Tep Sovichet,OFL,SANS_SERIF,2013-06-24
Karla,Jonny Pinhorn,OFL,SANS_SERIF,2012-03-14
Karla Tamil Inclined,Jonathan Pinhorn,OFL,SANS_SERIF,2012-09-29
Karla Tamil Upright,Jonathan Pinhorn,OFL,SANS_SERIF,2012-09-29
Karma,Indian Type Foundry,OFL,SERIF,2014-06-25
Katibeh,KB Studio,OFL,DISPLAY,2016-06-20
Kaushan Script,Impallari Type,OFL,HANDWRITING,2012-01-25
Kavivanar,Tharique Azeez,OFL,HANDWRITING,2016-06-20
Kavoon,Viktoriya Grabowska,OFL,DISPLAY,2013-01-23
Kdam Thmor,Tep Sovichet,OFL,DISPLAY,2013-12-04
Keania One,Julia Petretta,OFL,DISPLAY,2012-10-31
Kelly Slab,Denis Masharov,OFL,DISPLAY,2011-07-27
Kenia,Julia Petretta,OFL,DISPLAY,2010-12-15
Khand,Indian Type Foundry,OFL,SANS_SERIF,2014-07-14
Khmer,Danh Hong,OFL,DISPLAY,2011-03-02
Khula,Erin McLaughlin,OFL,SANS_SERIF,2015-01-28
Kirang Haerang,Woowahan Brothers,OFL,DISPLAY,2018-02-24
Kite One,Eduardo Tunni,OFL,SANS_SERIF,2012-10-26
Knewave,Tyler Finck,OFL,DISPLAY,2011-11-23
Kodchasan,Cadson Demak,OFL,SANS_SERIF,2018-08-22
KoHo,Cadson Demak,OFL,SANS_SERIF,2018-08-22
Kotta One,Ania Kruk,OFL,SERIF,2012-01-25
Koulen,Danh Hong,OFL,DISPLAY,2011-03-02
Kreon,Julia Petretta,OFL,SERIF,2011-02-02
Kristi,Birgit Pulk,OFL,HANDWRITING,2010-12-20
Krona One,Yvonne Schüttler,OFL,SANS_SERIF,2012-02-22
Krub,Cadson Demak,OFL,SANS_SERIF,2018-08-24
Kulim Park,Dale Sattler,OFL,SANS_SERIF,2019-09-25
Kumar One,Indian Type Foundry,OFL,DISPLAY,2016-06-20
Kurale,Eduardo Tunni,OFL,SERIF,2015-05-14
La Belle Aurore,Kimberly Geswein,OFL,HANDWRITING,2011-06-08
Lacquer,"Niki Polyocan, Eli Block",OFL,DISPLAY,2019-07-04
Laila,Indian Type Foundry,OFL,SERIF,2014-08-27
Lakki Reddy,Appaji Ambarisha Darbha,OFL,HANDWRITING,2015-01-12
Lalezar,Borna Izadpanah,OFL,SANS_SERIF,2017-02-28
Lancelot,Marion Kadi,OFL,DISPLAY,2011-11-02
Lateef,SIL International,OFL,SERIF,2012-01-18
Lato,Łukasz Dziedzic,OFL,SANS_SERIF,2010-12-15
League Gothic,"League Of Movable Type, Mirko Velimirovic",OFL,SANS_SERIF,2020-01-30
League Script,Haley Fiege,OFL,HANDWRITING,2011-03-09
Leckerli One,Gesine Todt,OFL,HANDWRITING,2011-07-20
Ledger,Denis Masharov,OFL,SERIF,2012-02-22
Lekton,Multiple Designers,OFL,SANS_SERIF,2010-12-20
Lemon,Eduardo Tunni,OFL,DISPLAY,2011-11-30
Lemonada,"Mohamed Gaber, Eduardo Tunni",OFL,DISPLAY,2016-06-20
Lexend Deca,Thomas Jockin,OFL,SANS_SERIF,2019-08-01
Lexend Exa,Thomas Jockin,OFL,SANS_SERIF,2019-08-01
Lexend Giga,Thomas Jockin,OFL,SANS_SERIF,2019-08-01
Lexend Mega,Thomas Jockin,OFL,SANS_SERIF,2019-08-01
