name,caption,lines,connect_rer,connect_tramway,connect_transilien,connect_other,passengers,latitude,longitude,location,min_line
Dupleix,,6,,,,,2028963,48.850392,2.293611,Paris 15th,6
Edgar Quinet,,6,,,,,1349178,48.841048,2.325084,Paris 14th,6
Glacière,,6,,,,,3005750,48.831150,2.343384,Paris 13th,6
Kléber,,6,,,,,724215,48.871138,2.293118,Paris 16th,6
La Motte-Picquet—Grenelle,,"6, 8, 10",,,,,5117708,48.849143,2.298090,Paris 15th,6
Nationale,,6,,,,,1320290,48.833183,2.362718,Paris 13th,6
Passy,,6,,,,,2080548,48.857445,2.285779,Paris 16th,6
Pasteur,,"6, 12",,,,,3026286,48.842836,2.312681,Paris 15th,6
Picpus,,6,,,,,931602,48.845150,2.400494,Paris 12th,6
Quai de la Gare,,6,,,,,1735465,48.837069,2.372773,Paris 13th,6
Saint-Jacques,,6,,,,,1407837,48.832913,2.337081,Paris 14th,6
Sèvres—Lecourbe,,6,,,,,1257040,48.845634,2.309476,Paris 15th,6
Trocadéro,,"6, 9",,,,,5284134,48.863301,2.287061,Paris 16th,6
Aubervilliers—Pantin—Quatre Chemins,,7,,,,,5616435,48.903900,2.392500,Aubervilliers,7
Cadet,,7,,,,,1843984,48.876135,2.344876,Paris 9th,7
Censier—Daubenton,,7,,,,,2291843,48.840597,2.351774,Paris 5th,7
Château-Landon,,7,,,P,"TGV, TER",1140353,48.878460,2.362071,Paris 10th,7
Chaussée d'Antin—La Fayette,,"7, 9",,,,,4251916,48.873070,2.333930,Paris 9th,7
Corentin Cariou,,7,,,,,1697076,48.894340,2.381745,Paris 19th,7
Crimée,,7,,,,,3543952,48.891580,2.377070,Paris 19th,7
Fort d'Aubervilliers,,7,,,,,3103518,48.914240,2.403785,Aubervilliers,7
Jussieu,,"7, 10",,,,,2889642,48.846052,2.355738,Paris 5th,7
La Courneuve—8 Mai 1945,,7,,T1,,,4924444,48.920777,2.410668,La Courneuve,7
Le Kremlin—Bicêtre,,7,,,,,2925325,48.810388,2.361849,Le Kremlin-Bicêtre,7
Le Peletier,,7,,,,,1677832,48.874720,2.339550,Paris 9th,7
Les Gobelins,,7,,,,,2365942,48.836400,2.352250,"Paris 5th, Paris 13th",7
Louis Blanc,,7,,,,,1548029,48.881137,2.364839,Paris 10th,7
Mairie d'Ivry,,7,,,,,2042071,48.811120,2.383390,Ivry-sur-Seine,7
Maison Blanche,,"7, 14",,,,,1203631,48.822155,2.358531,Paris 13th,7
Pierre et Marie Curie,,7,,,,,1100552,48.815920,2.377890,Ivry-sur-Seine,7
Place Monge,Jardin des Plantes—Arènes de Lutèce,7,,,,,1837996,48.843590,2.352279,Paris 5th,7
Poissonnière,,7,,,,,2306725,48.877080,2.348450,"Paris 9th, Paris 10th",7
Pont Marie,Cité des Arts,7,,,,,1101482,48.853290,2.357620,Paris 4th,7
Pont Neuf,,7,,,,,1188930,48.858680,2.341490,Paris 1st,7
Porte d'Italie,,7,,T3a,,,1507152,48.819196,2.360805,Paris 13th,7
Porte d'Ivry,,7,,T3a,,,1282199,48.820960,2.370440,Paris 13th,7
Porte de Choisy,,7,,"T3a, T9",,,1592144,48.820320,2.365290,Paris 13th,7
Porte de la Villette,Cité des Sciences et de l'Industrie,7,,T3b,,,2706288,48.897090,2.385880,Paris 19th,7
Pyramides,,"7, 14",,,,,3962698,48.865870,2.334670,Paris 1st,7
