curr_symbol,symbol
dollar,$
euro,&#128;
pound,&#163;
yen,&#165;
franc,&#8355;
lira,&#8356;
peseta,&#8359;
won,&#8361;
sheqel,&#8362;
dong,&#8363;
kip,&#8365;
tugrik,&#8366;
drachma,&#8367;
peso,&#8369;
guarani,&#8370;
austral,&#8371;
hryvnia,&#8372;
cedi,&#8373;
rupee,&#8377;
generic,&#164;
