type,from,to,conv_factor
volume,volume.tablespoon,volume.cubic_inch,0.902344
volume,volume.teaspoon,volume.gallon,0.00130208
volume,volume.teaspoon,volume.quart,0.00520833
volume,volume.teaspoon,volume.pint,0.0104167
volume,volume.teaspoon,volume.cup,0.0208333
volume,volume.teaspoon,volume.fluid_ounce,0.166667
volume,volume.teaspoon,volume.tablespoon,0.333333
volume,volume.teaspoon,volume.cubic_meter,4.93E-06
volume,volume.teaspoon,volume.liter,0.00473553
volume,volume.teaspoon,volume.milliliter,4.73553
volume,volume.teaspoon,volume.imperial_gallon,0.00104167
volume,volume.teaspoon,volume.imperial_quart,0.00416667
volume,volume.teaspoon,volume.imperial_pint,0.00833333
volume,volume.teaspoon,volume.imperial_cup,0.0104167
volume,volume.teaspoon,volume.imperial_fluid_ounce,0.0416667
volume,volume.teaspoon,volume.imperial_tablespoon,0.0833333
volume,volume.teaspoon,volume.imperial_teaspoon,0.25
volume,volume.teaspoon,volume.cubic_foot,0.000174063
volume,volume.teaspoon,volume.cubic_inch,0.300781
volume,volume.cubic_meter,volume.gallon,264.172
volume,volume.cubic_meter,volume.quart,1056.69
volume,volume.cubic_meter,volume.pint,2113.38
volume,volume.cubic_meter,volume.cup,4399.37
volume,volume.cubic_meter,volume.fluid_ounce,33814
volume,volume.cubic_meter,volume.tablespoon,67628
volume,volume.cubic_meter,volume.teaspoon,202884
volume,volume.cubic_meter,volume.liter,1000
volume,volume.cubic_meter,volume.milliliter,1000000
volume,volume.cubic_meter,volume.imperial_gallon,219.969
volume,volume.cubic_meter,volume.imperial_quart,879.877
volume,volume.cubic_meter,volume.imperial_pint,1759.75
volume,volume.cubic_meter,volume.imperial_cup,2199.69
volume,volume.cubic_meter,volume.imperial_fluid_ounce,8799.08
volume,volume.cubic_meter,volume.imperial_tablespoon,17598.2
volume,volume.cubic_meter,volume.imperial_teaspoon,52794.5
volume,volume.cubic_meter,volume.cubic_foot,35.3147
volume,volume.cubic_meter,volume.cubic_inch,61023.7
volume,volume.liter,volume.gallon,0.264172
volume,volume.liter,volume.quart,1.05669
volume,volume.liter,volume.pint,2.11338
volume,volume.liter,volume.cup,4.39937
volume,volume.liter,volume.fluid_ounce,35.1951
volume,volume.liter,volume.tablespoon,70.3901
volume,volume.liter,volume.teaspoon,211.171
volume,volume.liter,volume.cubic_meter,0.001
volume,volume.liter,volume.milliliter,1000
volume,volume.liter,volume.imperial_gallon,0.219969
volume,volume.liter,volume.imperial_quart,0.879877
volume,volume.liter,volume.imperial_pint,1.75975
volume,volume.liter,volume.imperial_cup,2.19969
volume,volume.liter,volume.imperial_fluid_ounce,8.79908
volume,volume.liter,volume.imperial_tablespoon,17.5982
volume,volume.liter,volume.imperial_teaspoon,52.7945
volume,volume.liter,volume.cubic_foot,0.0353147
volume,volume.liter,volume.cubic_inch,61.0237
volume,volume.milliliter,volume.gallon,0.000264172
volume,volume.milliliter,volume.quart,0.00105669
volume,volume.milliliter,volume.pint,0.00211338
volume,volume.milliliter,volume.cup,0.00439937
volume,volume.milliliter,volume.fluid_ounce,0.0351951
volume,volume.milliliter,volume.tablespoon,0.0703901
volume,volume.milliliter,volume.teaspoon,0.211171
volume,volume.milliliter,volume.cubic_meter,1.00E-06
volume,volume.milliliter,volume.liter,0.001
volume,volume.milliliter,volume.imperial_gallon,0.000219969
volume,volume.milliliter,volume.imperial_quart,0.000879877
volume,volume.milliliter,volume.imperial_pint,0.00175975
volume,volume.milliliter,volume.imperial_cup,0.00219969
volume,volume.milliliter,volume.imperial_fluid_ounce,0.00879908
volume,volume.milliliter,volume.imperial_tablespoon,0.0175982
volume,volume.milliliter,volume.imperial_teaspoon,0.0527945
volume,volume.milliliter,volume.cubic_foot,3.53E-05
volume,volume.milliliter,volume.cubic_inch,0.0610237
volume,volume.imperial_gallon,volume.gallon,1.20095
volume,volume.imperial_gallon,volume.quart,4.80381
volume,volume.imperial_gallon,volume.pint,9.60762
volume,volume.imperial_gallon,volume.cup,19.9726
volume,volume.imperial_gallon,volume.fluid_ounce,153.722
volume,volume.imperial_gallon,volume.tablespoon,307.445
volume,volume.imperial_gallon,volume.teaspoon,922.336
volume,volume.imperial_gallon,volume.cubic_meter,0.00454609
volume,volume.imperial_gallon,volume.liter,4.54609
volume,volume.imperial_gallon,volume.milliliter,4546.09
volume,volume.imperial_gallon,volume.imperial_quart,4
volume,volume.imperial_gallon,volume.imperial_pint,8
volume,volume.imperial_gallon,volume.imperial_cup,20
volume,volume.imperial_gallon,volume.imperial_fluid_ounce,160
volume,volume.imperial_gallon,volume.imperial_tablespoon,320
volume,volume.imperial_gallon,volume.imperial_teaspoon,960
volume,volume.imperial_gallon,volume.cubic_foot,0.160544
volume,volume.imperial_gallon,volume.cubic_inch,277.419
volume,volume.imperial_quart,volume.gallon,0.300238
volume,volume.imperial_quart,volume.quart,1.20095
volume,volume.imperial_quart,volume.pint,2.4019
volume,volume.imperial_quart,volume.cup,4.99315
volume,volume.imperial_quart,volume.fluid_ounce,38.4306
volume,volume.imperial_quart,volume.tablespoon,76.8612
volume,volume.imperial_quart,volume.teaspoon,230.583
volume,volume.imperial_quart,volume.cubic_meter,0.00113652
volume,volume.imperial_quart,volume.liter,1.13652
volume,volume.imperial_quart,volume.milliliter,1136.52
volume,volume.imperial_quart,volume.imperial_gallon,0.25
volume,volume.imperial_quart,volume.imperial_pint,2
volume,volume.imperial_quart,volume.imperial_cup,5
volume,volume.imperial_quart,volume.imperial_fluid_ounce,40
volume,volume.imperial_quart,volume.imperial_tablespoon,80
volume,volume.imperial_quart,volume.imperial_teaspoon,240
volume,volume.imperial_quart,volume.cubic_foot,0.0401359
volume,volume.imperial_quart,volume.cubic_inch,69.3547
volume,volume.imperial_pint,volume.gallon,0.150119
volume,volume.imperial_pint,volume.quart,0.600477
volume,volume.imperial_pint,volume.pint,1.20095
volume,volume.imperial_pint,volume.cup,2.49657
volume,volume.imperial_pint,volume.fluid_ounce,19.2153
volume,volume.imperial_pint,volume.tablespoon,38.4306
volume,volume.imperial_pint,volume.teaspoon,115.292
volume,volume.imperial_pint,volume.cubic_meter,0.000568261
volume,volume.imperial_pint,volume.liter,0.568261
volume,volume.imperial_pint,volume.milliliter,568.261
volume,volume.imperial_pint,volume.imperial_gallon,0.125
volume,volume.imperial_pint,volume.imperial_quart,0.5
volume,volume.imperial_pint,volume.imperial_cup,1.25
volume,volume.imperial_pint,volume.imperial_fluid_ounce,10
volume,volume.imperial_pint,volume.imperial_tablespoon,20
volume,volume.imperial_pint,volume.imperial_teaspoon,60
volume,volume.imperial_pint,volume.cubic_foot,0.0200679
volume,volume.imperial_pint,volume.cubic_inch,34.6773
volume,volume.imperial_cup,volume.gallon,0.119047
volume,volume.imperial_cup,volume.quart,0.47619
volume,volume.imperial_cup,volume.pint,0.952381
volume,volume.imperial_cup,volume.cup,1.25
volume,volume.imperial_cup,volume.fluid_ounce,9.60762
volume,volume.imperial_cup,volume.tablespoon,19.2153
volume,volume.imperial_cup,volume.teaspoon,57.646
volume,volume.imperial_cup,volume.cubic_meter,0.000284131
volume,volume.imperial_cup,volume.liter,0.284131
volume,volume.imperial_cup,volume.milliliter,284.131
volume,volume.imperial_cup,volume.imperial_gallon,0.0625
volume,volume.imperial_cup,volume.imperial_quart,0.25
volume,volume.imperial_cup,volume.imperial_pint,0.5
volume,volume.imperial_cup,volume.imperial_fluid_ounce,4
volume,volume.imperial_cup,volume.imperial_tablespoon,8
volume,volume.imperial_cup,volume.imperial_teaspoon,24
volume,volume.imperial_cup,volume.cubic_foot,0.0401359
volume,volume.imperial_cup,volume.cubic_inch,69.3547
volume,volume.imperial_fluid_ounce,volume.gallon,0.0302397
volume,volume.imperial_fluid_ounce,volume.quart,0.120958
volume,volume.imperial_fluid_ounce,volume.pint,0.241916
volume,volume.imperial_fluid_ounce,volume.cup,0.502958
volume,volume.imperial_fluid_ounce,volume.fluid_ounce,3.21507
volume,volume.imperial_fluid_ounce,volume.tablespoon,6.43015
volume,volume.imperial_fluid_ounce,volume.teaspoon,19.2905
volume,volume.imperial_fluid_ounce,volume.cubic_meter,2.84E-05
volume,volume.imperial_fluid_ounce,volume.liter,0.0284131
volume,volume.imperial_fluid_ounce,volume.milliliter,28.4131
volume,volume.imperial_fluid_ounce,volume.imperial_gallon,0.00625
volume,volume.imperial_fluid_ounce,volume.imperial_quart,0.025
volume,volume.imperial_fluid_ounce,volume.imperial_pint,0.05
volume,volume.imperial_fluid_ounce,volume.imperial_cup,0.125
volume,volume.imperial_fluid_ounce,volume.imperial_tablespoon,2
volume,volume.imperial_fluid_ounce,volume.imperial_teaspoon,6
volume,volume.imperial_fluid_ounce,volume.cubic_foot,0.00104438
volume,volume.imperial_fluid_ounce,volume.cubic_inch,1.80469
volume,volume.imperial_tablespoon,volume.gallon,0.0151199
volume,volume.imperial_tablespoon,volume.quart,0.0604797
volume,volume.imperial_tablespoon,volume.pint,0.12096
volume,volume.imperial_tablespoon,volume.cup,0.251479
volume,volume.imperial_tablespoon,volume.fluid_ounce,1.60753
volume,volume.imperial_tablespoon,volume.tablespoon,3.21507
volume,volume.imperial_tablespoon,volume.teaspoon,9.64521
volume,volume.imperial_tablespoon,volume.cubic_meter,1.42E-05
volume,volume.imperial_tablespoon,volume.liter,0.0142066
volume,volume.imperial_tablespoon,volume.milliliter,14.2066
volume,volume.imperial_tablespoon,volume.imperial_gallon,0.003125
volume,volume.imperial_tablespoon,volume.imperial_quart,0.0125
volume,volume.imperial_tablespoon,volume.imperial_pint,0.025
volume,volume.imperial_tablespoon,volume.imperial_cup,0.03125
volume,volume.imperial_tablespoon,volume.imperial_fluid_ounce,0.125
volume,volume.imperial_tablespoon,volume.imperial_teaspoon,3
volume,volume.imperial_tablespoon,volume.cubic_foot,0.000522188
volume,volume.imperial_tablespoon,volume.cubic_inch,0.902344
volume,volume.imperial_teaspoon,volume.gallon,0.00503997
volume,volume.imperial_teaspoon,volume.quart,0.0201599
volume,volume.imperial_teaspoon,volume.pint,0.0403197
volume,volume.imperial_teaspoon,volume.cup,0.0838264
volume,volume.imperial_teaspoon,volume.fluid_ounce,0.537509
volume,volume.imperial_teaspoon,volume.tablespoon,1.07502
volume,volume.imperial_teaspoon,volume.teaspoon,3.22506
volume,volume.imperial_teaspoon,volume.cubic_meter,4.74E-06
volume,volume.imperial_teaspoon,volume.liter,0.00473553
volume,volume.imperial_teaspoon,volume.milliliter,4.73553
volume,volume.imperial_teaspoon,volume.imperial_gallon,0.00104167
volume,volume.imperial_teaspoon,volume.imperial_quart,0.00416667
volume,volume.imperial_teaspoon,volume.imperial_pint,0.00833333
volume,volume.imperial_teaspoon,volume.imperial_cup,0.0104167
volume,volume.imperial_teaspoon,volume.imperial_fluid_ounce,0.0416667
volume,volume.imperial_teaspoon,volume.imperial_tablespoon,0.833333
volume,volume.imperial_teaspoon,volume.cubic_foot,0.000174063
volume,volume.imperial_teaspoon,volume.cubic_inch,0.300781
volume,volume.cubic_foot,volume.gallon,7.48052
volume,volume.cubic_foot,volume.quart,29.9221
volume,volume.cubic_foot,volume.pint,59.8442
volume,volume.cubic_foot,volume.cup,124.829
volume,volume.cubic_foot,volume.fluid_ounce,9576.35
volume,volume.cubic_foot,volume.tablespoon,19152.7
volume,volume.cubic_foot,volume.teaspoon,57458.2
volume,volume.cubic_foot,volume.cubic_meter,0.0283168
volume,volume.cubic_foot,volume.liter,28.3168
volume,volume.cubic_foot,volume.milliliter,28316.8
volume,volume.cubic_foot,volume.imperial_gallon,6.22884
volume,volume.cubic_foot,volume.imperial_quart,24.9154
volume,volume.cubic_foot,volume.imperial_pint,49.8309
volume,volume.cubic_foot,volume.imperial_cup,62.2884
volume,volume.cubic_foot,volume.imperial_fluid_ounce,249.154
volume,volume.cubic_foot,volume.imperial_tablespoon,498.307
volume,volume.cubic_foot,volume.imperial_teaspoon,1494.92
volume,volume.cubic_foot,volume.cubic_inch,1728
volume,volume.cubic_inch,volume.gallon,0.004329
volume,volume.cubic_inch,volume.quart,0.017316
volume,volume.cubic_inch,volume.pint,0.034632
volume,volume.cubic_inch,volume.cup,0.072678
volume,volume.cubic_inch,volume.fluid_ounce,55.338
volume,volume.cubic_inch,volume.tablespoon,110.677
volume,volume.cubic_inch,volume.teaspoon,332.031
volume,volume.cubic_inch,volume.cubic_meter,1.64E-05
volume,volume.cubic_inch,volume.liter,0.0163871
volume,volume.cubic_inch,volume.milliliter,16.3871
volume,volume.cubic_inch,volume.imperial_gallon,0.00360465
volume,volume.cubic_inch,volume.imperial_quart,0.0144186
volume,volume.cubic_inch,volume.imperial_pint,0.0288372
volume,volume.cubic_inch,volume.imperial_cup,0.0360465
volume,volume.cubic_inch,volume.imperial_fluid_ounce,0.144186
volume,volume.cubic_inch,volume.imperial_tablespoon,0.288372
volume,volume.cubic_inch,volume.imperial_teaspoon,0.865116
volume,volume.cubic_inch,volume.cubic_foot,0.000578704
fuel,fuel.miles_per_gallon,fuel.kilometer_per_liter,0.425144
fuel,fuel.miles_per_gallon,fuel.liter_per_100_kilometers,235.215
fuel,fuel.kilometer_per_liter,fuel.miles_per_gallon,2.35215
fuel,fuel.kilometer_per_liter,fuel.liter_per_100_kilometers,100
fuel,fuel.liter_per_100_kilometers,fuel.miles_per_gallon,0.00425
fuel,fuel.liter_per_100_kilometers,fuel.kilometer_per_liter,0.01
