number,af,ak,am,ar,az,be,bg,bs,ca,ccp,chr,cs,cy,da,de-CH,de,ee,el,en,eo,es,et,fa,ff,fi,fil,fo,fr-BE,fr-CH,fr,ga,he,hi,hr,hu,hy,id,is,it,ja,ka,kk,kl,km,ko,ky,lb,lo,lrc,lt,lv,mk,ms,mt,my,ne,nl,nn,no,pl,pt,qu,ro,ru,se,sk,sl,sq,sr-Latn,sr,su,sv,sw,ta,th,tr,uk,vi,yue,zh
63,drie-en-sestig,aduasia-abiasa,ስድስት አስር ሦስት,ثلاثة وستون,atmış üç,шэсцьдзесят тры,шейсет и три,šezdeset tri,seixanta-tres,𑄦𑄬𑄖𑄴 𑄖𑄨𑄚𑄴,ꮡꮣꮅꮝꭺ ꮶꭲ,šedesát tři,chwe deg tri,tre­ogtres,drei­und­sechzig,drei­und­sechzig,blaade vɔ etɔ̃,εξήντα τρία,sixty-three,sesdek tri,sesenta y tres,kuuskümmend kolm,شصت و سه,cepanze jeegoʼo e tati,kuusi­kymmentä­kolme,anim na pû’t tatló,seksti­tríggir,soixante-trois,soixante-trois,soixante-trois,seasca a trí,שישים ושלוש,तिरेसठ,šezdeset i tri,hatvan­három,վաթսուն­երեք,enam puluh tiga,sextíu og þrír,sessanta­tré,六十三,სამოცდა­სამი,алпыс үш,arfinilinnik qulillit pingasut,ហុកសិប​បី,육십삼,алтымыш үч,dräiansiechzeg,ຫົກ​ສິບ​ສາມ,شٱصد و ساٛ,šešiasdešimt trys,sešdesmit trīs,шеесет и три,enam puluh tiga,tlieta u sittin,ခြောက်ဆယ်သုံး,त्रिसट्ठी,drie­ën­zestig,seksti­tre,seksti­tre,sześćdziesiąt trzy,sessenta e três,suqta chunka kinsa-yuq,şasezeci şi trei,шестьдесят три,guhtta­logi­golbma,šesťdesiat­tri,šestdeset tri,gjashtëdhjetë e tre,šezdeset i tri,шездесет и три,genep puluh tilu,sextiotre,sitini na tatu,அறுபது மூன்று,หก​สิบ​สาม,altmış üç,шістдесят три,sáu mươi ba,六十三,六十三
64,vier-en-sestig,aduasia-anan,ስድስት አስር አራት,أربعة وستون,atmış dörd,шэсцьдзесят чатыры,шейсет и четири,šezdeset četiri,seixanta-quatre,𑄦𑄬𑄖𑄴 𑄌𑄳𑄆𑄬𑄢𑄴,ꮡꮣꮅꮝꭺ ꮕꭹ,šedesát čtyři,chwe deg pedwar,fire­ogtres,vierundsechzig,vierundsechzig,blaade vɔ ene,εξήντα τέσσερα,sixty-four,sesdek kvar,sesenta y cuatro,kuuskümmend neli,شصت و چهار,cepanze jeegoʼo e nawi,kuusi­kymmentä­neljä,anim na pû’t ápat,seksti­fýre,soixante-quatre,soixante-quatre,soixante-quatre,seasca a ceathair,שישים וארבע,चौंसठ,šezdeset i četiri,hatvannégy,վաթսուն­չորս,enam puluh empat,sextíu og fjórir,sessanta­quattro,六十四,სამოცდა­ოთხი,алпыс төрт,arfinilinnik qulillit sisamat,ហុកសិប​បួន,육십사,алтымыш төрт,véieransiechzeg,ຫົກ​ສິບ​ສີ່,شٱصد و چار,šešiasdešimt keturi,sešdesmit četri,шеесет и четири,enam puluh empat,erbgħa u sittin,ခြောက်ဆယ်လေး,चौसट्ठी,vier­en­zestig,seksti­fire,seksti­fire,sześćdziesiąt cztery,sessenta e quatro,suqta chunka tawa-yuq,şasezeci şi patru,шестьдесят четыре,guhtta­logi­njeallje,šesťdesiat­štyri,šestdeset štiri,gjashtëdhjetë e katër,šezdeset i četiri,шездесет и четири,genep puluh opat,sextio­fyra,sitini na nne,அறுபது நான்கு,หก​สิบ​สี่,altmış dört,шістдесят чотири,sáu mươi tư,六十四,六十四
65,vyf-en-sestig,aduasia-anum,ስድስት አስር አምስት,خمسة وستون,atmış beş,шэсцьдзесят пяць,шейсет и пет,šezdeset pet,seixanta-cinc,𑄦𑄬𑄖𑄴 𑄛𑄌𑄴,ꮡꮣꮅꮝꭺ ꭿꮝꭹ,šedesát pět,chwe deg pump,fem­ogtres,fünfund­sechzig,fünfund­sechzig,blaade vɔ atɔ̃,εξήντα πέντε,sixty-five,sesdek kvin,sesenta y cinco,kuuskümmend viis,شصت و پنج,cepanze jeegoʼo e jowi,kuusi­kymmentä­viisi,anim na pû’t limá,seksti­fimm,soixante-cinq,soixante-cinq,soixante-cinq,seasca a cúig,שישים וחמש,पैंसठ,šezdeset i pet,hatvan­öt,վաթսուն­հինգ,enam puluh lima,sextíu og fimm,sessanta­cinque,六十五,სამოცდა­ხუთი,алпыс бес,arfinilinnik qulillit tallimat,ហុកសិប​ប្រាំ,육십오,алтымыш беш,fënnefansiechzeg,ຫົກ​ສິບ​ຫ້າ,شٱصد و پنج,šešiasdešimt penki,sešdesmit pieci,шеесет и пет,enam puluh lima,ħamsa u sittin,ခြောက်ဆယ်ငါး,पैँसट्ठी,vijf­en­zestig,seksti­­fem,seksti­­fem,sześćdziesiąt pięć,sessenta e cinco,suqta chunka phisqa-yuq,şasezeci şi cinci,шестьдесят пять,guhtta­logi­vihtta,šesťdesiat­päť,šestdeset pet,gjashtëdhjetë e pesë,šezdeset i pet,шездесет и пет,genep puluh lima,sextio­fem,sitini na tano,அறுபது ஐந்து,หก​สิบ​ห้า,altmış beş,шістдесят пʼять,sáu mươi lăm,六十五,六十五
66,ses-en-sestig,aduasia-asia,ስድስት አስር ስድስት,ستة وستون,atmış altı,шэсцьдзесят шэсць,шейсет и шест,šezdeset šest,seixanta-sis,𑄦𑄬𑄖𑄴 𑄍𑄧,ꮡꮣꮅꮝꭺ ꮡꮣꮅ,šedesát šest,chwe deg chwech,seks­ogtres,sechs­und­sechzig,sechs­und­sechzig,blaade vɔ ade,εξήντα έξι,sixty-six,sesdek ses,sesenta y seis,kuuskümmend kuus,شصت و شش,cepanze jeegoʼo e jeegoʼo,kuusi­kymmentä­kuusi,anim na pû’t anim,seksti­seks,soixante-six,soixante-six,soixante-six,seasca a sé,שישים ושש,छियासठ,šezdeset i šest,hatvan­hat,վաթսուն­վեց,enam puluh enam,sextíu og sex,sessanta­sei,六十六,სამოცდა­ექვსი,алпыс алты,arfinilinnik qulillit arfinillit,ហុកសិប​ប្រាំមួយ,육십육,алтымыш алты,sechsansiechzeg,ຫົກ​ສິບ​ຫົກ,شٱصد و شٱش,šešiasdešimt šeši,sešdesmit seši,шеесет и шест,enam puluh enam,sitta u sittin,ခြောက်ဆယ်ခြောက်,छयसट्ठी,zes­en­zestig,seksti­seks,seksti­seks,sześćdziesiąt sześć,sessenta e seis,suqta chunka suqta-yuq,şasezeci şi şase,шестьдесят шесть,guhtta­logi­guhtta,šesťdesiat­šesť,šestdeset šest,gjashtëdhjetë e gjashtë,šezdeset i šest,шездесет и шест,genep puluh genep,sextiosex,sitini na sita,அறுபது ஆறு,หก​สิบ​หก,altmış altı,шістдесят шість,sáu mươi sáu,六十六,六十六
67,sewe-en-sestig,aduasia-asuon,ስድስት አስር ሰባት,سبعة وستون,atmış yeddi,шэсцьдзесят сем,шейсет и седем,šezdeset sedam,seixanta-set,𑄦𑄬𑄖𑄴 𑄥𑄖𑄴,ꮡꮣꮅꮝꭺ ꭶꮅꮙꭹ,šedesát sedm,chwe deg saith,syv­ogtres,sieben­und­sechzig,sieben­und­sechzig,blaade vɔ adre,εξήντα επτά,sixty-seven,sesdek sep,sesenta y siete,kuuskümmend seitse,شصت و هفت,cepanze jeegoʼo e jeeɗiɗi,kuusi­kymmentä­seitsemän,anim na pû’t pitó,seksti­sjey,soixante-sept,soixante-sept,soixante-sept,seasca a seacht,שישים ושבע,सड़सठ,šezdeset i sedam,hatvanhét,վաթսուն­յոթ,enam puluh tujuh,sextíu og sjó,sessanta­sette,六十七,სამოცდა­შვიდი,алпыс жеті,arfinilinnik qulillit arfineq-marluk,ហុកសិប​ប្រាំពីរ,육십칠,алтымыш жети,siwenansiechzeg,ຫົກ​ສິບ​ເຈັດ,شٱصد و هفت,šešiasdešimt septyni,sešdesmit septiņi,шеесет и седум,enam puluh tujuh,sebgħa u sittin,ခြောက်ဆယ်ခုနှစ်,सतसट्ठी,zeven­en­zestig,seksti­sju,seksti­sju,sześćdziesiąt siedem,sessenta e sete,suqta chunka qanchis-ni-yuq,şasezeci şi şapte,шестьдесят семь,guhtta­logi­čieža,šesťdesiat­sedem,šestdeset sedem,gjashtëdhjetë e shtatë,šezdeset i sedam,шездесет и седам,genep puluh tujuh,sextiosju,sitini na saba,அறுபது ஏழு,หก​สิบ​เจ็ด,altmış yedi,шістдесят сім,sáu mươi bảy,六十七,六十七
68,agt-en-sestig,aduasia-awɔtwe,ስድስት አስር ስምንት,ثمانية وستون,atmış səkkiz,шэсцьдзесят восем,шейсет и осем,šezdeset osam,seixanta-vuit,𑄦𑄬𑄖𑄴 𑄃𑄖𑄳𑄠𑄴𑄧,ꮡꮣꮅꮝꭺ ꮷꮑꮃ,šedesát osm,chwe deg wyth,otte­ogtres,acht­und­sechzig,acht­und­sechzig,blaade vɔ enyi,εξήντα οκτώ,sixty-eight,sesdek ok,sesenta y ocho,kuuskümmend kaheksa,شصت و هشت,cepanze jeegoʼo e jeetati,kuusi­kymmentä­kahdeksan,anim na pû’t waló,seksti­átta,soixante-huit,soixante-huit,soixante-huit,seasca a hocht,שישים ושמונה,अड़सठ,šezdeset i osam,hatvan­nyolc,վաթսուն­ութ,enam puluh delapan,sextíu og átta,sessant­otto,六十八,სამოცდა­რვა,алпыс сегіз,arfinilinnik qulillit arfineq-pingasut,ហុកសិប​ប្រាំបី,육십팔,алтымыш сегиз,aachtansiechzeg,ຫົກ​ສິບ​ແປດ,شٱصد و هشت,šešiasdešimt aštuoni,sešdesmit astoņi,шеесет и осум,enam puluh lapan,tmienja u sittin,ခြောက်ဆယ်ရှစ်,अठसट्ठी,acht­en­zestig,seksti­åtte,seksti­åtte,sześćdziesiąt osiem,sessenta e oito,suqta chunka pusaq-ni-yuq,şasezeci şi opt,шестьдесят восемь,guhtta­logi­gávcci,šesťdesiat­osem,šestdeset osem,gjashtëdhjetë e tetë,šezdeset i osam,шездесет и осам,genep puluh dalapan,sextio­åtta,sitini na nane,அறுபது எட்டு,หก​สิบ​แปด,altmış sekiz,шістдесят вісім,sáu mươi tám,六十八,六十八
69,nege-en-sestig,aduasia-akron,ስድስት አስር ዘጠኝ,تسعة وستون,atmış doqquz,шэсцьдзесят дзевяць,шейсет и девет,šezdeset devet,seixanta-nou,𑄦𑄬𑄖𑄴 𑄚𑄧,ꮡꮣꮅꮝꭺ ꮠꮑꮃ,šedesát devět,chwe deg naw,ni­ogtres,neun­und­sechzig,neun­und­sechzig,blaade vɔ asieke,εξήντα εννέα,sixty-nine,sesdek naŭ,sesenta y nueve,kuuskümmend üheksa,شصت و نه,cepanze jeegoʼo e jeenawi,kuusi­kymmentä­yhdeksän,anim na pû’t siyám,seksti­níggju,soixante-neuf,soixante-neuf,soixante-neuf,seasca a naoi,שישים ותשע,उनहत्तर,šezdeset i devet,hatvan­kilenc,վաթսուն­ինը,enam puluh sembilan,sextíu og níu,sessanta­nove,六十九,სამოცდა­ცხრა,алпыс тоғыз,arfinilinnik qulillit arfineq-sisamat,ហុកសិប​ប្រាំបួន,육십구,алтымыш тогуз,néngansiechzeg,ຫົກ​ສິບ​ເກົ້າ,شٱصد و نۏ,šešiasdešimt devyni,sešdesmit deviņi,шеесет и девет,enam puluh sembilan,disgħa u sittin,ခြောက်ဆယ်ကိုး,उनन्सत्तरी,negen­en­zestig,seksti­ni,seksti­ni,sześćdziesiąt dziewięć,sessenta e nove,suqta chunka isqun-ni-yuq,şasezeci şi nouă,шестьдесят девять,guhtta­logi­ovcci,šesťdesiat­deväť,šestdeset devet,gjashtëdhjetë e nëntë,šezdeset i devet,шездесет и девет,genep puluh salapan,sextionio,sitini na tisa,அறுபது ஒன்பது,หก​สิบ​เก้า,altmış dokuz,шістдесят девʼять,sáu mươi chín,六十九,六十九
70,sewentig,aduasuon,ሰባት አስር,سبعون,yetmiş,семдзесят,седемдесет,sedamdeset,setanta,𑄦𑄮𑄖𑄴𑄪𑄢𑄴,ꭶꮅꮖꮝꭺꭿ,sedmdesát,saith deg,halvfjerds,siebzig,siebzig,blaadre,εβδομήντα,seventy,sepdek,setenta,seitsekümmend,هفتاد,cepanze jeeɗiɗi,seitsemän­kymmentä,pitóng pû,sjeyti,septante,septante,soixante-dix,seachtó,שבעים,सत्तर,sedamdeset,hetven,յոթանասուն,tujuh puluh,sjötíu,settanta,七十,სამოცდა­ათი,жетпіс,arfineq-marlunnik qulillit,ចិតសិប,칠십,жетимиш,siwwenzeg,ເຈັດ​ສິບ,هفتاد,septyniasdešimt,septiņdesmit,седумдесет,tujuh puluh,sebgħin,ခုနှစ်ဆယ်,सत्तरी,zeventig,sytti,sytti,siedemdziesiąt,setenta,qanchis chunka,şaptezeci,семьдесят,čieža­logi,sedemdesiat,sedemdeset,shtatëdhjetë,sedamdeset,седамдесет,tujuh puluh,sjuttio,sabini,எழுபது,เจ็ด​สิบ,yetmiş,сімдесят,bảy mươi,七十,七十
71,een-en-sewentig,aduasuon-biako,ሰባት አስር አንድ,واحد وسبعون,yetmiş bir,семдзесят адзiн,седемдесет и едно,sedamdeset jedan,setanta-u,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄆𑄇𑄴,ꭶꮅꮖꮝꭺ ꮠꮼ,sedmdesát jeden,saith deg un,en­oghalvfjerds,ein­undsiebzig,ein­undsiebzig,blaadre vɔ ɖekɛ,εβδομήντα ένα,seventy-one,sepdek unu,setenta y uno,seitsekümmend üks,هفتاد و یک,cepanze jeeɗiɗi e goʼo,seitsemän­kymmentä­yksi,pitóng pû’t isá,sjeyti­ein,septante-et-un,septante-et-un,soixante-et-onze,seachtó a haon,שבעים ואחת,इकहत्तर,sedamdeset i jedan,hetven­egy,յոթանասուն­մեկ,tujuh puluh satu,sjötíu og einn,settant­uno,七十一,სამოცდა­თერთმეტი,жетпіс бір,arfineq-marlunnik qulillit ataaseq,ចិតសិប​មួយ,칠십일,жетимиш бир,eenansiwwenzeg,ເຈັດ​ສິບ​ເອັດ,هفتاد و یٱک,septyniasdešimt vienas,septiņdesmit viens,седумдесет и еден,tujuh puluh satu,wieħed u sebgħin,ခုနှစ်ဆယ်တစ်,एकहत्तर,een­en­zeventig,sytti­éin,sytti­én,siedemdziesiąt jeden,setenta e um,qanchis chunka huk-ni-yuq,şaptezeci şi unu,семьдесят один,čieža­logi­okta,sedemdesiat­jeden,sedemdeset ena,shtatëdhjetë e një,sedamdeset i jedan,седамдесет и један,tujuh puluh hiji,sjuttio­ett,sabini na moja,எழுபது ஒன்று,เจ็ด​สิบ​เอ็ด,yetmiş bir,сімдесят один,bảy mươi mốt,七十一,七十一
72,twee-en-sewentig,aduasuon-abien,ሰባት አስር ሁለት,إثنان وسبعون,yetmiş iki,семдзесят два,седемдесет и две,sedamdeset dva,setanta-dos,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄘𑄨,ꭶꮅꮖꮝꭺ ꮤꮅ,sedmdesát dva,saith deg dau,to­oghalvfjerds,zwei­und­siebzig,zwei­und­siebzig,blaadre vɔ eve,εβδομήντα δύο,seventy-two,sepdek du,setenta y dos,seitsekümmend kaks,هفتاد و دو,cepanze jeeɗiɗi e ɗiɗi,seitsemän­kymmentä­kaksi,pitóng pû’t dalawá,sjeyti­tveir,septante-deux,septante-deux,soixante-douze,seachtó a dó,שבעים ושתיים,बहत्तर,sedamdeset i dva,hetven­kettő,յոթանասուն­երկու,tujuh puluh dua,sjötíu og tveir,settanta­due,七十二,სამოცდა­თორმეტი,жетпіс екі,arfineq-marlunnik qulillit marluk,ចិតសិប​ពីរ,칠십이,жетимиш эки,zweeansiwwenzeg,ເຈັດ​ສິບ​ສອງ,هفتاد و دۏ,septyniasdešimt du,septiņdesmit divi,седумдесет и два,tujuh puluh dua,tnejn u sebgħin,ခုနှစ်ဆယ်နှစ်,बहत्तर,twee­ën­zeventig,sytti­to,sytti­to,siedemdziesiąt dwa,setenta e dois,qanchis chunka iskay-ni-yuq,şaptezeci şi doi,семьдесят два,čieža­logi­guokte,sedemdesiat­dva,sedemdeset dva,shtatëdhjetë e dy,sedamdeset i dva,седамдесет и два,tujuh puluh dua,sjuttio­två,sabini na mbili,எழுபது இரண்டு,เจ็ด​สิบ​สอง,yetmiş iki,сімдесят два,bảy mươi hai,七十二,七十二
73,drie-en-sewentig,aduasuon-abiasa,ሰባት አስር ሦስት,ثلاثة وسبعون,yetmiş üç,семдзесят тры,седемдесет и три,sedamdeset tri,setanta-tres,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄖𑄨𑄚𑄴,ꭶꮅꮖꮝꭺ ꮶꭲ,sedmdesát tři,saith deg tri,tre­oghalvfjerds,drei­und­siebzig,drei­und­siebzig,blaadre vɔ etɔ̃,εβδομήντα τρία,seventy-three,sepdek tri,setenta y tres,seitsekümmend kolm,هفتاد و سه,cepanze jeeɗiɗi e tati,seitsemän­kymmentä­kolme,pitóng pû’t tatló,sjeyti­tríggir,septante-trois,septante-trois,soixante-treize,seachtó a trí,שבעים ושלוש,तिहत्तर,sedamdeset i tri,hetven­három,յոթանասուն­երեք,tujuh puluh tiga,sjötíu og þrír,settanta­tré,七十三,სამოცდა­ცამეტი,жетпіс үш,arfineq-marlunnik qulillit pingasut,ចិតសិប​បី,칠십삼,жетимиш үч,dräiansiwwenzeg,ເຈັດ​ສິບ​ສາມ,هفتاد و ساٛ,septyniasdešimt trys,septiņdesmit trīs,седумдесет и три,tujuh puluh tiga,tlieta u sebgħin,ခုနှစ်ဆယ်သုံး,त्रिहत्तर,drie­ën­zeventig,sytti­tre,sytti­tre,siedemdziesiąt trzy,setenta e três,qanchis chunka kinsa-yuq,şaptezeci şi trei,семьдесят три,čieža­logi­golbma,sedemdesiat­tri,sedemdeset tri,shtatëdhjetë e tre,sedamdeset i tri,седамдесет и три,tujuh puluh tilu,sjuttiotre,sabini na tatu,எழுபது மூன்று,เจ็ด​สิบ​สาม,yetmiş üç,сімдесят три,bảy mươi ba,七十三,七十三
74,vier-en-sewentig,aduasuon-anan,ሰባት አስር አራት,أربعة وسبعون,yetmiş dörd,семдзесят чатыры,седемдесет и четири,sedamdeset četiri,setanta-quatre,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄌𑄳𑄆𑄬𑄢𑄴,ꭶꮅꮖꮝꭺ ꮕꭹ,sedmdesát čtyři,saith deg pedwar,fire­oghalvfjerds,vierundsiebzig,vierundsiebzig,blaadre vɔ ene,εβδομήντα τέσσερα,seventy-four,sepdek kvar,setenta y cuatro,seitsekümmend neli,هفتاد و چهار,cepanze jeeɗiɗi e nawi,seitsemän­kymmentä­neljä,pitóng pû’t ápat,sjeyti­fýre,septante-quatre,septante-quatre,soixante-quatorze,seachtó a ceathair,שבעים וארבע,चौहत्तर,sedamdeset i četiri,hetvennégy,յոթանասուն­չորս,tujuh puluh empat,sjötíu og fjórir,settanta­quattro,七十四,სამოცდა­თოთხმეტი,жетпіс төрт,arfineq-marlunnik qulillit sisamat,ចិតសិប​បួន,칠십사,жетимиш төрт,véieransiwwenzeg,ເຈັດ​ສິບ​ສີ່,هفتاد و چار,septyniasdešimt keturi,septiņdesmit četri,седумдесет и четири,tujuh puluh empat,erbgħa u sebgħin,ခုနှစ်ဆယ်လေး,चौहत्तर,vier­en­zeventig,sytti­fire,sytti­fire,siedemdziesiąt cztery,setenta e quatro,qanchis chunka tawa-yuq,şaptezeci şi patru,семьдесят четыре,čieža­logi­njeallje,sedemdesiat­štyri,sedemdeset štiri,shtatëdhjetë e katër,sedamdeset i četiri,седамдесет и четири,tujuh puluh opat,sjuttiofyra,sabini na nne,எழுபது நான்கு,เจ็ด​สิบ​สี่,yetmiş dört,сімдесят чотири,bảy mươi tư,七十四,七十四
75,vyf-en-sewentig,aduasuon-anum,ሰባት አስር አምስት,خمسة وسبعون,yetmiş beş,семдзесят пяць,седемдесет и пет,sedamdeset pet,setanta-cinc,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄛𑄌𑄴,ꭶꮅꮖꮝꭺ ꭿꮝꭹ,sedmdesát pět,saith deg pump,fem­oghalvfjerds,fünfund­siebzig,fünfund­siebzig,blaadre vɔ atɔ̃,εβδομήντα πέντε,seventy-five,sepdek kvin,setenta y cinco,seitsekümmend viis,هفتاد و پنج,cepanze jeeɗiɗi e jowi,seitsemän­kymmentä­viisi,pitóng pû’t limá,sjeyti­fimm,septante-cinq,septante-cinq,soixante-quinze,seachtó a cúig,שבעים וחמש,पचहत्तर,sedamdeset i pet,hetven­öt,յոթանասուն­հինգ,tujuh puluh lima,sjötíu og fimm,settanta­cinque,七十五,სამოცდა­თხუთმეტი,жетпіс бес,arfineq-marlunnik qulillit tallimat,ចិតសិប​ប្រាំ,칠십오,жетимиш беш,fënnefansiwwenzeg,ເຈັດ​ສິບ​ຫ້າ,هفتاد و پنج,septyniasdešimt penki,septiņdesmit pieci,седумдесет и пет,tujuh puluh lima,ħamsa u sebgħin,ခုနှစ်ဆယ်ငါး,पचहत्तर,vijf­en­zeventig,sytti­­fem,sytti­­fem,siedemdziesiąt pięć,setenta e cinco,qanchis chunka phisqa-yuq,şaptezeci şi cinci,семьдесят пять,čieža­logi­vihtta,sedemdesiat­päť,sedemdeset pet,shtatëdhjetë e pesë,sedamdeset i pet,седамдесет и пет,tujuh puluh lima,sjuttio­fem,sabini na tano,எழுபது ஐந்து,เจ็ด​สิบ​ห้า,yetmiş beş,сімдесят пʼять,bảy mươi lăm,七十五,七十五
76,ses-en-sewentig,aduasuon-asia,ሰባት አስር ስድስት,ستة وسبعون,yetmiş altı,семдзесят шэсць,седемдесет и шест,sedamdeset šest,setanta-sis,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄍𑄧,ꭶꮅꮖꮝꭺ ꮡꮣꮅ,sedmdesát šest,saith deg chwech,seks­oghalvfjerds,sechs­und­siebzig,sechs­und­siebzig,blaadre vɔ ade,εβδομήντα έξι,seventy-six,sepdek ses,setenta y seis,seitsekümmend kuus,هفتاد و شش,cepanze jeeɗiɗi e jeegoʼo,seitsemän­kymmentä­kuusi,pitóng pû’t anim,sjeyti­seks,septante-six,septante-six,soixante-seize,seachtó a sé,שבעים ושש,छिहत्तर,sedamdeset i šest,hetven­hat,յոթանասուն­վեց,tujuh puluh enam,sjötíu og sex,settanta­sei,七十六,სამოცდა­თექვსმეტი,жетпіс алты,arfineq-marlunnik qulillit arfinillit,ចិតសិប​ប្រាំមួយ,칠십육,жетимиш алты,sechsansiwwenzeg,ເຈັດ​ສິບ​ຫົກ,هفتاد و شٱش,septyniasdešimt šeši,septiņdesmit seši,седумдесет и шест,tujuh puluh enam,sitta u sebgħin,ခုနှစ်ဆယ်ခြောက်,छयहत्तर,zes­en­zeventig,sytti­seks,sytti­seks,siedemdziesiąt sześć,setenta e seis,qanchis chunka suqta-yuq,şaptezeci şi şase,семьдесят шесть,čieža­logi­guhtta,sedemdesiat­šesť,sedemdeset šest,shtatëdhjetë e gjashtë,sedamdeset i šest,седамдесет и шест,tujuh puluh genep,sjuttiosex,sabini na sita,எழுபது ஆறு,เจ็ด​สิบ​หก,yetmiş altı,сімдесят шість,bảy mươi sáu,七十六,七十六
77,sewe-en-sewentig,aduasuon-asuon,ሰባት አስር ሰባት,سبعة وسبعون,yetmiş yeddi,семдзесят сем,седемдесет и седем,sedamdeset sedam,setanta-set,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄥𑄖𑄴,ꭶꮅꮖꮝꭺ ꭶꮅꮙꭹ,sedmdesát sedm,saith deg saith,syv­oghalvfjerds,sieben­und­siebzig,sieben­und­siebzig,blaadre vɔ adre,εβδομήντα επτά,seventy-seven,sepdek sep,setenta y siete,seitsekümmend seitse,هفتاد و هفت,cepanze jeeɗiɗi e jeeɗiɗi,seitsemän­kymmentä­seitsemän,pitóng pû’t pitó,sjeyti­sjey,septante-sept,septante-sept,soixante-dix-sept,seachtó a seacht,שבעים ושבע,सतहत्तर,sedamdeset i sedam,hetvenhét,յոթանասուն­յոթ,tujuh puluh tujuh,sjötíu og sjó,settanta­sette,七十七,სამოცდა­ჩვიდმეტი,жетпіс жеті,arfineq-marlunnik qulillit arfineq-marluk,ចិតសិប​ប្រាំពីរ,칠십칠,жетимиш жети,siwenansiwwenzeg,ເຈັດ​ສິບ​ເຈັດ,هفتاد و هفت,septyniasdešimt septyni,septiņdesmit septiņi,седумдесет и седум,tujuh puluh tujuh,sebgħa u sebgħin,ခုနှစ်ဆယ်ခုနှစ်,सतहत्तर,zeven­en­zeventig,sytti­sju,sytti­sju,siedemdziesiąt siedem,setenta e sete,qanchis chunka qanchis-ni-yuq,şaptezeci şi şapte,семьдесят семь,čieža­logi­čieža,sedemdesiat­sedem,sedemdeset sedem,shtatëdhjetë e shtatë,sedamdeset i sedam,седамдесет и седам,tujuh puluh tujuh,sjuttiosju,sabini na saba,எழுபது ஏழு,เจ็ด​สิบ​เจ็ด,yetmiş yedi,сімдесят сім,bảy mươi bảy,七十七,七十七
78,agt-en-sewentig,aduasuon-awɔtwe,ሰባት አስር ስምንት,ثمانية وسبعون,yetmiş səkkiz,семдзесят восем,седемдесет и осем,sedamdeset osam,setanta-vuit,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄃𑄖𑄳𑄠𑄴𑄧,ꭶꮅꮖꮝꭺ ꮷꮑꮃ,sedmdesát osm,saith deg wyth,otte­oghalvfjerds,acht­und­siebzig,acht­und­siebzig,blaadre vɔ enyi,εβδομήντα οκτώ,seventy-eight,sepdek ok,setenta y ocho,seitsekümmend kaheksa,هفتاد و هشت,cepanze jeeɗiɗi e jeetati,seitsemän­kymmentä­kahdeksan,pitóng pû’t waló,sjeyti­átta,septante-huit,septante-huit,soixante-dix-huit,seachtó a hocht,שבעים ושמונה,अठहत्तर,sedamdeset i osam,hetven­nyolc,յոթանասուն­ութ,tujuh puluh delapan,sjötíu og átta,settant­otto,七十八,სამოცდა­თრვამეტი,жетпіс сегіз,arfineq-marlunnik qulillit arfineq-pingasut,ចិតសិប​ប្រាំបី,칠십팔,жетимиш сегиз,aachtansiwwenzeg,ເຈັດ​ສິບ​ແປດ,هفتاد و هشت,septyniasdešimt aštuoni,septiņdesmit astoņi,седумдесет и осум,tujuh puluh lapan,tmienja u sebgħin,ခုနှစ်ဆယ်ရှစ်,अठहत्तर,acht­en­zeventig,sytti­åtte,sytti­åtte,siedemdziesiąt osiem,setenta e oito,qanchis chunka pusaq-ni-yuq,şaptezeci şi opt,семьдесят восемь,čieža­logi­gávcci,sedemdesiat­osem,sedemdeset osem,shtatëdhjetë e tetë,sedamdeset i osam,седамдесет и осам,tujuh puluh dalapan,sjuttio­åtta,sabini na nane,எழுபது எட்டு,เจ็ด​สิบ​แปด,yetmiş sekiz,сімдесят вісім,bảy mươi tám,七十八,七十八
