year,title,original_title,director,languages,countries_of_origin,run_time,imdb_url
1947,The Damned,Les maudits,René Clément,"fr,en,de,it",FR,1h 45m,https://www.imdb.com/title/tt0039615/
1947,"Marouf, the Cairo Cobbler",Marouf savetier du caire,Jean Mauran,fr,MA,1h 30m,https://www.imdb.com/title/tt0255353/
1947,Mine Own Executioner,,Anthony Kimmins,en,GB,1h 48m,https://www.imdb.com/title/tt0039627/
1947,Paris 1900,Paris mil neuf cent,Nicole Védrès,fr,FR,1h 22m,https://www.imdb.com/title/tt0040683/
1947,Possessed,,Curtis Bernhardt,en,US,1h 48m,https://www.imdb.com/title/tt0039725/
1947,A Ship to India,Skepp till India land,Ingmar Bergman,sv,SE,1h 38m,https://www.imdb.com/title/tt0039834/
1947,Lost in the Dark,Sperduti nel buio,Camillo Mastrocinque,it,IT,1h 45m,https://www.imdb.com/title/tt0039857/
1947,The Schoolmistress,A tanítónö,Márton Keleti,hu,HU,1h 10m,https://www.imdb.com/title/tt0038150/
1947,The Chase,,Arthur Ripley,"en,es",US,1h 26m,https://www.imdb.com/title/tt0038409/
1947,The Jolson Story,,Alfred E. Green,en,US,2h 8m,https://www.imdb.com/title/tt0038661/
1947,The Strange Love of Martha Ivers,,Lewis Milestone,en,US,1h 56m,https://www.imdb.com/title/tt0038988/
1947,Two Women,Två kvinnor,Arnold Sjöstrand,sv,SE,1h 36m,https://www.imdb.com/title/tt0039922/
1947,Ziegfeld Follies,,"Lemuel Ayers, Roy Del Ruth, Robert Lewis",en,US,1h 50m,https://www.imdb.com/title/tt0039116/
1949,Act of Violence,,Fred Zinnemann,"en,de",US,1h 22m,https://www.imdb.com/title/tt0041088/
1949,Almafuerte,,Luis César Amadori,es,AR,1h 32m,https://www.imdb.com/title/tt0178228/
1949,An Act of Murder,,Michael Gordon,en,US,1h 31m,https://www.imdb.com/title/tt0040072/
1949,At the Grand Balcony,Au grand balcon,Henri Decoin,"fr,es,en",FR,2h 3m,https://www.imdb.com/title/tt0154175/
1949,The Original Sin,Der Apfel ist ab,Helmut Käutner,de,DE,1h 45m,https://www.imdb.com/title/tt0040105/
