year,title,original_title,director,languages,countries_of_origin,run_time,imdb_url
1961,The Last Witness,Der letzte Zeuge,Wolfgang Staudte,de,DE,1h 42m,https://www.imdb.com/title/tt0054025/
1961,The Judge,Domaren,Alf Sjöberg,sv,SE,1h 52m,https://www.imdb.com/title/tt0053781/
1961,The Brute,Dúvad,Zoltán Fábri,hu,HU,1h 36m,https://www.imdb.com/title/tt0052768/
1961,That Forward Center Died at Dawn,El centroforward murió al amanecer,René Múgica,es,AR,1h 20m,https://www.imdb.com/title/tt0193048/
1961,The Knife,Het mes,Fons Rademakers,nl,NL,1h 29m,https://www.imdb.com/title/tt0055168/
1961,I Like Mike,,Peter Frye,he,IL,2h,https://www.imdb.com/title/tt0137009/
1961,Two Women,La ciociara,Vittorio De Sica,"it,de,en","IT,FR",1h 41m,https://www.imdb.com/title/tt0054749/
1961,The Hand in the Trap,La mano en la trampa,Leopoldo Torre Nilsson,es,"AR,ES",1h 31m,https://www.imdb.com/title/tt0055138/
1961,Girl with a Suitcase,La ragazza con la valigia,Valerio Zurlini,it,"IT,FR",2h 1m,https://www.imdb.com/title/tt0054225/
1961,The Lovemakers,La viaccia,Mauro Bolognini,it,"IT,FR",1h 42m,https://www.imdb.com/title/tt0056657/
1961,Sky Above and Mud Beneath,Le ciel et la boue,Pierre-Dominique Gaisseau,fr,"FR,LI",1h 32m,https://www.imdb.com/title/tt0053714/
1961,The Cossacks,,Vasili Pronin,ru,SU,1h 37m,https://www.imdb.com/title/tt0174810/
1961,Madalena,,Dinos Dimopoulos,el,GR,1h 31m,https://www.imdb.com/title/tt0055119/
1961,Mother Joan of the Angels,Matka Joanna od Aniolów,Jerzy Kawalerowicz,pl,PL,1h 50m,https://www.imdb.com/title/tt0055153/
1961,Her Brother,Otôto,Kon Ichikawa,ja,JP,1h 38m,https://www.imdb.com/title/tt0054151/
1961,A Song About the Gray Pigeon,Piesen o sivom holubovi,Stanislav Barabas,"de,ru,sk",CS,1h 38m,https://www.imdb.com/title/tt0232416/
1961,Plein sud,,Gaston De Gerlache,fr,BE,1h 30m,https://www.imdb.com/title/tt0318580/
1961,Chronicle of Flaming Years,Povest plamennykh let,Yuliya Solntseva,"ru,de",SU,1h 31m,https://www.imdb.com/title/tt0054199/
1961,The Hoodlum Priest,,Irvin Kershner,en,US,1h 41m,https://www.imdb.com/title/tt0054991/
1961,The Mark,,Guy Green,"en,fr",GB,2h 7m,https://www.imdb.com/title/tt0055146/
1961,The Passionate Demons,Line,Nils-Reinhardt Christensen,no,NO,1h 30m,https://www.imdb.com/title/tt0056184/
1961,The Wastrel,Il relitto,Michael Cacoyannis,en,"IT,CY",1h 24m,https://www.imdb.com/title/tt0055364/
1961,The Long Absence,Une aussi longue absence,Henri Colpi,fr,"FR,IT",1h 34m,https://www.imdb.com/title/tt0054426/
1961,Viridiana,,Luis Buñuel,"es,en","MX,ES",1h 31m,https://www.imdb.com/title/tt0055601/
1962,A Taste of Honey,,Tony Richardson,en,GB,1h 41m,https://www.imdb.com/title/tt0055506/
1962,Advise & Consent,,Otto Preminger,en,US,2h 19m,https://www.imdb.com/title/tt0055728/
1962,All Fall Down,,John Frankenheimer,en,US,1h 51m,https://www.imdb.com/title/tt0055738/
1962,Âmes et rythmes,,Abdelaziz Ramdani,ar,MA,1h 30m,https://www.imdb.com/title/tt0878722/
1962,Joseph the Dreamer,Ba'al Hahalomot,"Alina Gross, Yoram Gross",he,IL,1h 20m,https://www.imdb.com/title/tt0056125/
1962,Cléo from 5 to 7,Cléo de 5 à 7,Agnès Varda,fr,"FR,IT",1h 30m,https://www.imdb.com/title/tt0055852/
1962,Foundry Town,Kyûpora no aru machi,Kiriô Urayama,ja,JP,1h 39m,https://www.imdb.com/title/tt0228499/
1962,The Bread of Those Early Years,Das Brot der frühen Jahre,Herbert Vesely,de,DE,1h 24m,https://www.imdb.com/title/tt0054705/
1962,The Goddess,Devi,Satyajit Ray,bn,IN,1h 33m,https://www.imdb.com/title/tt0053765/
1962,Divorce Italian Style,Divorzio all'italiana,Pietro Germi,it,IT,1h 45m,https://www.imdb.com/title/tt0055913/
1962,The Impossible Goodbye,Dom bez okien,Stanislaw Jedryka,pl,PL,1h 38m,https://www.imdb.com/title/tt0055918/
1962,And Love Has Vanished,Dvoje,Aleksandar Petrovic,sr,YU,1h 28m,https://www.imdb.com/title/tt0124452/
1962,The Exterminating Angel,El ángel exterminador,Luis Buñuel,es,MX,1h 35m,https://www.imdb.com/title/tt0056732/
1962,Elektra,Ilektra,Michael Cacoyannis,el,GR,1h 50m,https://www.imdb.com/title/tt0055950/
1962,Harry and the Butler,Harry og kammertjeneren,Bent Christensen,da,DK,1h 45m,https://www.imdb.com/title/tt0054965/
1962,In the Steps of Buddha,,Pragnasoma Hettiarachi,ta,LK,1h,https://www.imdb.com/title/tt11352386/
1962,Adorable Julia,"Julia, du bist zauberhaft",Alfred Weidenmann,de,"AT,FR",1h 37m,https://www.imdb.com/title/tt0056129/
1962,When the Trees Were Tall,Kogda derevya byli bolshimi,Lev Kulidzhanov,ru,SU,1h 35m,https://www.imdb.com/title/tt0055051/
1962,Konga Yo,,Yves Allégret,fr,"FR,CG",1h 48m,https://www.imdb.com/title/tt0056569/
1962,L'eclisse,,Michelangelo Antonioni,"it,en","IT,FR",2h 6m,https://www.imdb.com/title/tt0056736/
1962,The Small Stranger,Al gharib al saghir,Georges Nasser,ar,EG,1h 40m,https://www.imdb.com/title/tt0252470/
1962,The Lovers of Teruel,Les Amants de Teruel,Raymond Rouleau,fr,FR,1h 30m,https://www.imdb.com/title/tt0197227/
1962,Children of the Sun,,Jacques Séverac,ar,"MA,FR",3h 5m,https://www.imdb.com/title/tt0255054/
1962,Liberté 1,,Yves Ciampi,fr,"FR,SN",1h 29m,https://www.imdb.com/title/tt0056178/
1962,Long Day's Journey Into Night,,Sidney Lumet,en,US,2h 54m,https://www.imdb.com/title/tt0056196/
1962,A Dog's Life,Mondo cane,"Paolo Cavara, Gualtiero Jacopetti, Franco Prosperi",it,IT,1h 48m,https://www.imdb.com/title/tt0057318/
1962,The Man from the First Century,Muz z prvního století,Oldrich Lipský,cs,CS,1h 36m,https://www.imdb.com/title/tt0056265/
1962,O Pagador de Promessas,,Anselmo Duarte,pt,BR,1h 38m,https://www.imdb.com/title/tt0056322/
1962,Plácido,,Luis García Berlanga,es,ES,1h 25m,https://www.imdb.com/title/tt0055310/
1962,Captive Flock,Pleneno yato,Ducho Mundrov,bg,BG,1h 31m,https://www.imdb.com/title/tt0253488/
1962,The Trial of Joan of Arc,Procès de Jeanne d'Arc,Robert Bresson,"fr,en",FR,1h 4m,https://www.imdb.com/title/tt0059616/
1962,A Bomb Was Stolen,S-a furat o bomba,Ion Popescu-Gopo,,RO,1h 14m,https://www.imdb.com/title/tt0131571/
1962,The Female: Seventy Times Seven,Setenta veces siete,Leopoldo Torre Nilsson,es,AR,1h 32m,https://www.imdb.com/title/tt0056471/
1962,The Innocents,,Jack Clayton,en,GB,1h 40m,https://www.imdb.com/title/tt0055018/
1962,The Magnificent Concubine,Yang Gui Fei,Han Hsiang Li,zh,HK,1h 43m,https://www.imdb.com/title/tt0058760/
1963,Like Two Drops of Water,Als twee druppels water,Fons Rademakers,"nl,de",NL,1h 59m,https://www.imdb.com/title/tt0056823/
1963,Alvorada,,Hugo Niebeling,de,"DE,FR,BR",1h 17m,https://www.imdb.com/title/tt0055742/
1963,The Cassandra Cat,Az prijde kocour,Vojtech Jasný,cs,CS,1h 44m,https://www.imdb.com/title/tt0056844/
1963,Carom Shots,Carambolages,Marcel Bluwal,fr,FR,1h 28m,https://www.imdb.com/title/tt0056906/
1963,Codine,,Henri Colpi,"fr,ro","FR,RO",1h 38m,https://www.imdb.com/title/tt0129831/
1963,The Good Love,El buen amor,Francisco Regueiro,"es,fr",ES,1h 30m,https://www.imdb.com/title/tt0056889/
1963,El otro Cristóbal,,Armand Gatti,es,"CU,FR",1h 55m,https://www.imdb.com/title/tt0309967/
1963,I fidanzati,,Ermanno Olmi,it,IT,1h 17m,https://www.imdb.com/title/tt0055981/
1963,The Leopard,Il gattopardo,Luchino Visconti,"it,fr","IT,FR",3h 6m,https://www.imdb.com/title/tt0057091/
1963,How to Be Loved,Jak byc kochana,Wojciech Has,"pl,de,fr",PL,1h 32m,https://www.imdb.com/title/tt0057196/
1963,A Cozy Cottage,Kertes házak utcája,Tamás Fejér,hu,HU,1h 20m,https://www.imdb.com/title/tt0056137/
1963,The Conjugal Bed,L'ape regina,Marco Ferreri,it,"IT,FR",1h 30m,https://www.imdb.com/title/tt0057532/
1963,The Cage,La cage,Robert Darène,fr,"GA,FR",1h 25m,https://www.imdb.com/title/tt0194730/
1963,Empress Wu Tse-Tien,Wu Ze Tian,Han Hsiang Li,zh,HK,2h,https://www.imdb.com/title/tt0054486/
1963,Rat Trap,Le rat d'Amérique,Jean-Gabriel Albicocco,fr,"FR,IT",1h 34m,https://www.imdb.com/title/tt0056395/
1963,Les Abysses,,Nikos Papatakis,fr,FR,1h 30m,https://www.imdb.com/title/tt0188388/
1963,Lord of the Flies,,Peter Brook,en,GB,1h 32m,https://www.imdb.com/title/tt0057261/
1963,The Venerable Ones,Los venerables todos,Manuel Antin,es,AR,1h 25m,https://www.imdb.com/title/tt0121848/
1963,Optimistic Tragedy,Optimisticheskaya tragediya,Samson Samsonov,ru,SU,2h,https://www.imdb.com/title/tt0057388/
1963,Glory Sky,Ouranos,Takis Kanellopoulos,el,GR,1h 27m,https://www.imdb.com/title/tt0196817/
1963,"Of Whales, the Moon, and Men",Pour la suite du monde,"Michel Brault, Pierre Perrault",fr,CA,1h 45m,https://www.imdb.com/title/tt0057423/
1963,Harakiri,Seppuku,Masaki Kobayashi,ja,JP,2h 13m,https://www.imdb.com/title/tt0056058/
1963,This Sporting Life,,Lindsay Anderson,en,GB,2h 14m,https://www.imdb.com/title/tt0057578/
1963,To Kill a Mockingbird,,Robert Mulligan,en,US,2h 9m,https://www.imdb.com/title/tt0056592/
1963,Tobacco,Tyutyun,Nikola Korabov,bg,"BG,SU",2h 30m,https://www.imdb.com/title/tt0173374/
1963,What Ever Happened to Baby Jane?,,Robert Aldrich,en,US,2h 14m,https://www.imdb.com/title/tt0056687/
1964,Greed in the Sun,Cent mille dollars au soleil,Henri Verneuil,"fr,ar","FR,IT",2h 10m,https://www.imdb.com/title/tt0056917/
1964,"Black God, White Devil",Deus e o Diabo na Terra do Sol,Glauber Rocha,pt,BR,2h,https://www.imdb.com/title/tt0058006/
1964,Dead Woman from Beverly Hills,Die Tote von Beverly Hills,Michael Pfleghar,de,DE,1h 50m,https://www.imdb.com/title/tt0058673/
1964,Last Night,El-Lailah el-Akhirah,Kamal El-Shaikh,ar,EG,2h,https://www.imdb.com/title/tt0373080/
1964,The Red Lanterns,Ta kokkina fanaria,Vasilis Georgiadis,"el,en",GR,2h 12m,https://www.imdb.com/title/tt0057229/
1964,The Cry,Krik,Jaromil Jires,cs,CS,1h 20m,https://www.imdb.com/title/tt0122574/
1964,Raven's End,Kvarteret Korpen,Bo Widerberg,sv,SE,1h 41m,https://www.imdb.com/title/tt0057237/
1964,The White Caravan,Tetri karavani,"Tamaz Meliava, Eldar Shengelaia","ka,ru",SU,1h 33m,https://www.imdb.com/title/tt0175238/
1964,The Ape Woman,La donna scimmia,Marco Ferreri,it,"IT,FR",1h 33m,https://www.imdb.com/title/tt0057006/
1964,The Girl in Mourning,La niña de luto,Manuel Summers,es,ES,1h 25m,https://www.imdb.com/title/tt0058411/
1964,The Soft Skin,La peau douce,François Truffaut,"fr,pt,en",FR,1h 53m,https://www.imdb.com/title/tt0058458/
1964,The Umbrellas of Cherbourg,,Jacques Demy,"fr,en","FR,DE",1h 31m,https://www.imdb.com/title/tt0058450/
1964,Mujhe Jeene Do,,Moni Bhattacharjee,"hi,ur,bho,en",IN,1h 35m,https://www.imdb.com/title/tt0057332/
1964,"One Potato, Two Potato",,Larry Peerce,en,US,1h 23m,https://www.imdb.com/title/tt0058429/
1964,Drama of the Lark,Pacsirta,László Ranódy,hu,HU,1h 33m,https://www.imdb.com/title/tt0057394/
1964,Passenger,Pasazerka,"Andrzej Munk, Witold Lesiewicz",pl,PL,1h 2m,https://www.imdb.com/title/tt0054159/
1964,Me First,Primero yo,Fernando Ayala,es,AR,1h 30m,https://www.imdb.com/title/tt0179429/
1964,Walking the Streets of Moscow,Ya shagayu po Moskve,Georgiy Daneliya,"ru,en",SU,1h 18m,https://www.imdb.com/title/tt0057694/
1964,Seduced and Abandoned,Sedotta e abbandonata,Pietro Germi,it,"IT,FR",1h 58m,https://www.imdb.com/title/tt0058564/
1964,Woman in the Dunes,Suna no onna,Hiroshi Teshigahara,ja,JP,2h 27m,https://www.imdb.com/title/tt0058625/
1964,Alone Across the Pacific,Taiheiyô hitoribotchi,Kon Ichikawa,"ja,en",JP,1h 44m,https://www.imdb.com/title/tt0057553/
1964,The Pumpkin Eater,,Jack Clayton,en,GB,1h 58m,https://www.imdb.com/title/tt0058500/
1964,The Visit,,Bernhard Wicki,"en,fr","US,IT,FR,DE",1h 40m,https://www.imdb.com/title/tt0058724/
1964,The World of Henry Orient,,George Roy Hill,"en,it,fr",US,1h 46m,https://www.imdb.com/title/tt0058756/
1964,Vidas Secas,,Nelson Pereira dos Santos,pt,BR,1h 43m,https://www.imdb.com/title/tt0057654/
1965,Loving Couples,Älskande par,Mai Zetterling,sv,SE,1h 58m,https://www.imdb.com/title/tt0058780/
1965,Clay,,Giorgio Mangiamele,en,AU,1h 25m,https://www.imdb.com/title/tt0059040/
1965,The Sin,El haram,Henry Barakat,ar,EG,1h 45m,https://www.imdb.com/title/tt0355521/
1965,Snakes and Ladders,El juego de la oca,Manuel Summers,es,ES,1h 52m,https://www.imdb.com/title/tt0059340/
1965,The Amphitheatre,El reñidero,René Múgica,es,AR,1h 13m,https://www.imdb.com/title/tt0320366/
1965,A Girl Danced Into His Life,Az életbe táncoltatott leány,Tamás Banovich,hu,HU,1h 20m,https://www.imdb.com/title/tt0058786/
1965,Circus Angel,Fifi la plume,Albert Lamorisse,fr,FR,1h 15m,https://www.imdb.com/title/tt0059177/
1965,There Was an Old Couple,Zhili-byli starik so starukhoy,Grigoriy Chukhray,ru,SU,2h 19m,https://www.imdb.com/title/tt0059946/
1965,Torrid Noon,Goreshto pladne,Zako Heskiya,bg,BG,1h 29m,https://www.imdb.com/title/tt0276986/
1965,The Moment of Truth,Il momento della verità,Francesco Rosi,"it,en","IT,ES",1h 50m,https://www.imdb.com/title/tt0059459/
1965,Zhavoronok,,"Nikita Kurikhin, Leonid Menaker",ru,SU,1h 31m,https://www.imdb.com/title/tt0314947/
1965,Kwaidan,Kaidan,Masaki Kobayashi,ja,JP,3h 3m,https://www.imdb.com/title/tt0058279/
1965,The 317th Platoon,La 317ème section,Pierre Schoendoerffer,"fr,vi","FR,ES",1h 40m,https://www.imdb.com/title/tt0058863/
1965,The Uninhibited,Los pianos mecánicos,Juan Antonio Bardem,es,"ES,FR,IT",1h 34m,https://www.imdb.com/title/tt0059589/
1965,My Home Is Copacabana,Mitt hem är Copacabana,Arne Sucksdorff,"sv,pt",SE,1h 28m,https://www.imdb.com/title/tt0059456/
1965,Men and Women,Noite Vazia,Walter Hugo Khouri,pt,BR,1h 33m,https://www.imdb.com/title/tt0189814/
1965,The Shop on Main Street,,"Ján Kadár, Elmar Klos","sk,yi,de",CS,2h 8m,https://www.imdb.com/title/tt0059527/
1965,The Forest of the Hanged,Padurea spânzuratilor,Liviu Ciulei,ro,RO,2h 34m,https://www.imdb.com/title/tt0058439/
1965,The First Day of Freedom,Pierwszy dzien wolnosci,Aleksander Ford,"pl,ru",PL,1h 29m,https://www.imdb.com/title/tt0059593/
1965,Prodosia,,Kostas Manoussakis,el,GR,1h 36m,https://www.imdb.com/title/tt0135616/
1965,Always Further On,Tarahumara (Cada vez más lejos),Luis Alcoriza,es,MX,1h 45m,https://www.imdb.com/title/tt0058637/
1965,The Collector,,William Wyler,en,"GB,US",1h 59m,https://www.imdb.com/title/tt0059043/
1965,The Hill,,Sidney Lumet,en,GB,2h 3m,https://www.imdb.com/title/tt0059274/
1965,The Ipcress File,,Sidney J. Furie,"en,sq",GB,1h 49m,https://www.imdb.com/title/tt0059319/
1965,The Knack ...and How to Get It,,Richard Lester,en,GB,1h 25m,https://www.imdb.com/title/tt0059362/
1965,Yoyo,,Pierre Étaix,fr,FR,1h 32m,https://www.imdb.com/title/tt0059934/
1966,The Hour and Turn of Augusto Matraga,A Hora e Vez de Augusto Matraga,Roberto Santos,pt,BR,1h 49m,https://www.imdb.com/title/tt0059281/
1966,Alfie,,Lewis Gilbert,en,GB,1h 54m,https://www.imdb.com/title/tt0060086/
1966,"Hello, That's Me!","Barev, yes em",Frunze Dovlatyan,"ru,ar",SU,2h 17m,https://www.imdb.com/title/tt0059943/
1966,Chimes at Midnight,Campanadas a medianoche,Orson Welles,en,"ES,CH,US",1h 59m,https://www.imdb.com/title/tt0059012/
1966,With the East Wind,Con el viento solano,Mario Camus,es,ES,1h 27m,https://www.imdb.com/title/tt0059052/
1966,Young Törless,Der junge Törless,Volker Schlöndorff,de,"DE,FR",1h 27m,https://www.imdb.com/title/tt0060574/
1966,Doctor Zhivago,,David Lean,"en,ru,fr","IT,GB,US",3h 17m,https://www.imdb.com/title/tt0059113/
1966,Dýmky,,Vojtech Jasný,cs,"CS,AT",1h 25m,https://www.imdb.com/title/tt0060829/
1966,Es,,Ulrich Schamoni,de,DE,1h 26m,https://www.imdb.com/title/tt0059153/
1966,Pharaoh,Faraon,Jerzy Kawalerowicz,pl,PL,3h,https://www.imdb.com/title/tt0060401/
1966,L'armata Brancaleone,,Mario Monicelli,it,"IT,FR,ES",2h,https://www.imdb.com/title/tt0060125/
1966,Lenin in Poland,Lenin v Polshe,Sergei Yutkevich,ru,"SU,PL",1h 38m,https://www.imdb.com/title/tt0060625/
1966,Mademoiselle,,Tony Richardson,"fr,en,it","GB,FR",1h 45m,https://www.imdb.com/title/tt0060648/
1966,Modesty Blaise,,Joseph Losey,"en,fr,it,ar,de,nl",GB,1h 59m,https://www.imdb.com/title/tt0060708/
1966,Morgan: A Suitable Case for Treatment,,Karel Reisz,en,GB,1h 37m,https://www.imdb.com/title/tt0060714/
1966,Ön,,Alf Sjöberg,sv,SE,1h 47m,https://www.imdb.com/title/tt0061227/
1966,The Ashes,Popioly,Andrzej Wajda,"pl,fr,de,es",PL,3h 54m,https://www.imdb.com/title/tt0060847/
1966,Rascoala,,Mircea Muresan,ro,RO,1h 40m,https://www.imdb.com/title/tt0059634/
1966,Seconds,,John Frankenheimer,en,US,1h 46m,https://www.imdb.com/title/tt0060955/
1966,Signore & signori,,Pietro Germi,it,"IT,FR",1h 58m,https://www.imdb.com/title/tt0062271/
1966,Hunger,Sult,Henning Carlsen,"da,sv,no","DK,NO,SE",1h 52m,https://www.imdb.com/title/tt0061042/
1966,The Nun,La religieuse,Jacques Rivette,fr,FR,2h 20m,https://www.imdb.com/title/tt0060891/
1966,The Round-Up,Szegénylegények,Miklós Jancsó,hu,HU,1h 30m,https://www.imdb.com/title/tt0059776/
1966,The Hawks and the Sparrows,Uccellacci e uccellini,Pier Paolo Pasolini,it,IT,1h 29m,https://www.imdb.com/title/tt0061132/
1966,A Man and a Woman,Un homme et une femme,Claude Lelouch,"fr,en,es",FR,1h 42m,https://www.imdb.com/title/tt0061138/
1967,We Still Kill the Old Way,A ciascuno il suo,Elio Petri,it,IT,1h 39m,https://www.imdb.com/title/tt0061320/
1967,Accident,,Joseph Losey,en,GB,1h 45m,https://www.imdb.com/title/tt0061328/
1967,Blow-Up,,Michelangelo Antonioni,en,"GB,IT",1h 51m,https://www.imdb.com/title/tt0060176/
1967,Hagbard and Signe,Den røde kappe,Gabriel Axel,"da,no,sv","DK,IS,SE",1h 40m,https://www.imdb.com/title/tt0063531/
1967,Elvira Madigan,,Bo Widerberg,"sv,da",SE,1h 31m,https://www.imdb.com/title/tt0061620/
1967,Hotel for Strangers,Hotel pro cizince,Antonín Mása,cs,CS,1h 43m,https://www.imdb.com/title/tt0133012/
1967,The Killing Game,Jeu de massacre,Alain Jessua,fr,FR,1h 31m,https://www.imdb.com/title/tt0061841/
1967,Katerina Izmailova,,Mikhail Shapiro,ru,SU,1h 56m,https://www.imdb.com/title/tt0122128/
1967,L'immorale,,Pietro Germi,it,"IT,FR",1h 40m,https://www.imdb.com/title/tt0061808/
1967,Misunderstood,Incompreso,Luigi Comencini,it,IT,1h 44m,https://www.imdb.com/title/tt0060538/
1967,The Unknown Man of Shandigor,L'inconnu de Shandigor,Jean-Louis Roy,fr,CH,1h 36m,https://www.imdb.com/title/tt0061815/
1967,The Winds of the Aures,Rih al awras,Mohammed Lakhdar-Hamina,"fr,ar",DZ,1h 35m,https://www.imdb.com/title/tt0170758/
1967,Mon amour Mon amour,,Nadine Trintignant,fr,FR,1h 26m,https://www.imdb.com/title/tt0061986/
1967,Monday's Child,La chica del lunes,Leopoldo Torre Nilsson,"en,es",AR,1h 18m,https://www.imdb.com/title/tt0061468/
1967,Degree of Murder,Mord und Totschlag,Volker Schlöndorff,de,DE,1h 27m,https://www.imdb.com/title/tt0061992/
1967,Mouchette,,Robert Bresson,fr,FR,1h 21m,https://www.imdb.com/title/tt0061996/
1967,Pedro Páramo,,Carlos Velo,es,MX,1h 50m,https://www.imdb.com/title/tt0062108/
1967,I Even Met Happy Gypsies,Skupljaci perja,Aleksandar Petrovic,"ro,sk,sr,rom",YU,1h 34m,https://www.imdb.com/title/tt0062277/
1967,Entranced Earth,Terra em Transe,Glauber Rocha,pt,BR,1h 51m,https://www.imdb.com/title/tt0062352/
1967,Three Days and a Child,Shlosha Yamim Veyeled,Uri Zohar,he,IL,1h 30m,https://www.imdb.com/title/tt0138100/
1967,Ten Thousand Days,Tízezer nap,Ferenc Kósa,hu,HU,1h 50m,https://www.imdb.com/title/tt0059838/
1967,The Last Meeting,Último encuentro,Antonio Eceiza,es,ES,1h 20m,https://www.imdb.com/title/tt0061228/
1967,Ulysses,,Joseph Strick,en,"GB,US",2h 12m,https://www.imdb.com/title/tt0062414/
1967,You're a Big Boy Now,,Francis Ford Coppola,en,US,1h 36m,https://www.imdb.com/title/tt0061209/
1968,Black Jesus,Seduto alla sua destra,Valerio Zurlini,it,IT,1h 29m,https://www.imdb.com/title/tt0063576/
1968,Twenty-Four Hours in the Life of a Woman,Vingt-quatre heures de la vie d'une femme,Dominique Delouche,fr,"FR,DE",1h 24m,https://www.imdb.com/title/tt0063779/
1968,Anna Karenina,,Aleksandr Zarkhi,ru,SU,2h 25m,https://www.imdb.com/title/tt0061359/
1968,The Violent Four,Banditi a Milano,Carlo Lizzani,it,IT,1h 38m,https://www.imdb.com/title/tt0062707/
1968,Charlie Bubbles,,Albert Finney,en,GB,1h 29m,https://www.imdb.com/title/tt0062792/
1968,The Red and the White,"Csillagosok, katonák",Miklós Jancsó,"hu,ru","HU,SU",1h 30m,https://www.imdb.com/title/tt0061537/
1968,The Castle,Das Schloß,Rudolf Noelte,de,DE,1h 33m,https://www.imdb.com/title/tt0063563/
1968,Doktor Glas,,Mai Zetterling,"da,sv","DK,SE",1h 23m,https://www.imdb.com/title/tt0062899/
1968,The Upthrown Stone,Feldobott kö,Sándor Sára,"hu,rom,el,ru",HU,1h 31m,https://www.imdb.com/title/tt0062963/
1968,Come Play with Me,Grazie zia,Salvatore Samperi,it,IT,1h 34m,https://www.imdb.com/title/tt0063033/
1968,Here We Go Round the Mulberry Bush,,Clive Donner,en,GB,1h 36m,https://www.imdb.com/title/tt0063063/
1968,The Fireman's Ball,"Horzhí, má panenko",Milos Forman,cs,"CS,IT",1h 13m,https://www.imdb.com/title/tt0061781/
1968,The Protagonists,I protagonisti,Marcello Fondato,it,IT,1h 45m,https://www.imdb.com/title/tt0063466/
1968,"Je t'aime, je t'aime",,Alain Resnais,"fr,nl,en",FR,1h 34m,https://www.imdb.com/title/tt0063152/
1968,Joanna,,Michael Sarne,en,GB,1h 48m,https://www.imdb.com/title/tt0063157/
1968,Les Gauloises bleues,,Michel Cournot,fr,FR,1h 33m,https://www.imdb.com/title/tt0063002/
1968,Playing Soldiers,Mali vojnici,Bahrudin 'Bato' Cengic,sr,YU,1h 32m,https://www.imdb.com/title/tt0066046/
1968,A Report on the Party and the Guests,O slavnosti a hostech,Jan Nemec,cs,CS,1h 11m,https://www.imdb.com/title/tt0063371/
1968,Peppermint Frappé,,Carlos Saura,"es,en",ES,1h 34m,https://www.imdb.com/title/tt0062113/
1968,Petulia,,Richard Lester,"en,es","GB,US",1h 45m,https://www.imdb.com/title/tt0063426/
1968,Capricious Summer,Rozmarné léto,Jirí Menzel,cs,CS,1h 14m,https://www.imdb.com/title/tt0063527/
1968,Tevye and His Seven Daughters,Tuvia Vesheva Benotav,Menahem Golan,he,"IL,DE",2h,https://www.imdb.com/title/tt0063725/
1968,The Girl on a Motorcycle,,Jack Cardiff,en,"GB,FR",1h 31m,https://www.imdb.com/title/tt0063013/
1968,The Long Day's Dying,,Peter Collinson,en,GB,1h 35m,https://www.imdb.com/title/tt0063237/
1968,Trilogy,,Frank Perry,en,US,1h 50m,https://www.imdb.com/title/tt0165996/
1968,Kuroneko,Yabu no naka no kuroneko,Kaneto Shindô,ja,JP,1h 39m,https://www.imdb.com/title/tt0122136/
1968,Matthew's Days,Zywot Mateusza,Witold Leszczynski,pl,PL,1h 20m,https://www.imdb.com/title/tt0062529/
1969,Ådalen 31,,Bo Widerberg,sv,SE,1h 55m,https://www.imdb.com/title/tt0065261/
1969,Antonio Das Mortes,,Glauber Rocha,pt,"BR,FR,DE",1h 40m,https://www.imdb.com/title/tt0064256/
1969,It Rains in My Village,Bice skoro propast sveta,Aleksandar Petrovic,sr,"YU,FR",1h 24m,https://www.imdb.com/title/tt0124294/
1969,Calcutta,,Louis Malle,fr,FR,1h 45m,https://www.imdb.com/title/tt0062773/
1969,Dillinger Is Dead,Dillinger è morto,Marco Ferreri,it,IT,1h 35m,https://www.imdb.com/title/tt0062893/
1969,Don't Let the Angels Fall,,George Kaczender,en,CA,1h 39m,https://www.imdb.com/title/tt0064248/
1969,Easy Rider,,Dennis Hopper,"en,es",US,1h 35m,https://www.imdb.com/title/tt0064276/
1969,Spain Again,España otra vez,Jaime Camino,"es,en,ca",ES,1h 48m,https://www.imdb.com/title/tt0062941/
1969,End of a Priest,Faráruv konec,Evald Schorm,cs,CS,1h 38m,https://www.imdb.com/title/tt0064316/
1969,The Confrontation,Fényes szelek,Miklós Jancsó,"hu,he,it",HU,1h 20m,https://www.imdb.com/title/tt0062995/
1969,Flashback,,Raffaele Andreassi,"it,de",IT,1h 46m,https://www.imdb.com/title/tt0145777/
1969,Machine Gun McCain,Gli intoccabili,Giuliano Montaldo,"it,en",IT,1h 36m,https://www.imdb.com/title/tt0065895/
1969,If....,,Lindsay Anderson,en,GB,1h 51m,https://www.imdb.com/title/tt0063850/
1969,The Loves of Isadora Duncan,Isadora,Karel Reisz,"en,ru,fr,de","GB,FR",2h 11m,https://www.imdb.com/title/tt0063141/
1969,Le grand amour,,Pierre Étaix,fr,FR,1h 27m,https://www.imdb.com/title/tt0064390/
1969,My Night at Maud's,Ma nuit chez Maud,Éric Rohmer,fr,FR,1h 50m,https://www.imdb.com/title/tt0064612/
1969,Manden der tænkte ting,,Jens Ravn,da,DK,1h 33m,https://www.imdb.com/title/tt0064631/
1969,Matzor,,Gilberto Tofano,he,IL,1h 40m,https://www.imdb.com/title/tt0141591/
1969,"Metti, una sera a cena",,Giuseppe Patroni Griffi,it,IT,2h 5m,https://www.imdb.com/title/tt0064660/
