num,denom,value
1,100,0.01
1,40,0.02
1,30,0.03
1,24,0.04
1,20,0.05
1,16,0.06
1,14,0.07
1,12,0.08
2,22,0.09
1,10,0.1
2,18,0.11
2,16,0.12
4,30,0.13
2,14,0.14
3,20,0.15
5,32,0.16
2,12,0.17
4,22,0.18
3,16,0.19
2,10,0.2
3,14,0.21
4,18,0.22
5,22,0.23
8,34,0.24
3,12,0.25
9,34,0.26
6,22,0.27
5,18,0.28
4,14,0.29
3,10,0.3
5,16,0.31
7,22,0.32
4,12,0.33
11,32,0.34
7,20,0.35
5,14,0.36
11,30,0.37
6,16,0.38
7,18,0.39
4,10,0.4
9,22,0.41
5,12,0.42
6,14,0.43
7,16,0.44
9,20,0.45
11,24,0.46
14,30,0.47
19,40,0.48
33,68,0.49
5,10,0.5
35,68,0.51
21,40,0.52
16,30,0.53
13,24,0.54
11,20,0.55
9,16,0.56
8,14,0.57
7,12,0.58
13,22,0.59
6,10,0.6
11,18,0.61
10,16,0.62
19,30,0.63
9,14,0.64
13,20,0.65
21,32,0.66
8,12,0.67
15,22,0.68
11,16,0.69
7,10,0.7
10,14,0.71
13,18,0.72
16,22,0.73
25,34,0.74
9,12,0.75
26,34,0.76
17,22,0.77
14,18,0.78
11,14,0.79
8,10,0.8
13,16,0.81
18,22,0.82
10,12,0.83
27,32,0.84
17,20,0.85
12,14,0.86
26,30,0.87
14,16,0.88
16,18,0.89
9,10,0.9
20,22,0.91
11,12,0.92
13,14,0.93
15,16,0.94
19,20,0.95
23,24,0.96
29,30,0.97
39,40,0.98
99,100,0.99
